newsgroup_a,newsgroup_b,users_a,users_b,shared_users,jaccard
no.alt.config,no.alt.mat.drikke,327,420,69,0.10176991150442478
no.marked.data,no.ms-windows,6029,2258,765,0.10170167508641319
no.nuug,no.standard,83,69,14,0.10144927536231885
no.irc,no.linux,1348,2858,387,0.10133542812254517
no.lisp,no.perl,203,385,54,0.10112359550561797
no.alt.diskusjoner,no.mail.diverse,2182,900,283,0.10110753840657377
no.general,no.irc,5597,1348,637,0.10098287888395688
no.c,no.kjemi,940,663,147,0.10096153846153846
no.net,no.tele,1071,1538,239,0.10084388185654009
no.it.emacs,no.perl,281,385,61,0.10082644628099173
no.tegnsett,no.x,184,220,37,0.1008174386920981
no.general,no.musikk,5597,3425,826,0.10078086871644705
no.prat.politikk,no.religion,382,1104,136,0.10074074074074074
no.norsk,no.religion,1808,1104,265,0.10011333585190782
no.nuug,no.sources.wanted,83,126,19,0.1
no.irc,no.mail.drift,1348,373,156,0.09968051118210862
no.alt.frustrasjoner,no.radio-tv,3039,1319,395,0.09967196568256372
no.news.diverse,no.religion,1726,1104,256,0.09945609945609946
no.audio,no.marked,2277,8022,931,0.09938087105038429
no.lisp,no.net,203,1071,115,0.0992234685073339
no.alt.diskusjoner,no.musikk,2182,3425,506,0.09919623603215055
no.ef,no.litteratur,510,1408,173,0.0991404011461318
no.ef,no.stortinget,510,599,100,0.09910802775024777
no.alt.config,no.news.diverse,327,1726,185,0.09903640256959315
no.film,no.litteratur,2416,1408,344,0.09885057471264368
no.nuug,no.tegnsett,83,184,24,0.09876543209876543
no.alt.config,no.alt.gledesutbrudd,327,1620,175,0.09875846501128668
no.alt.god.jul,no.mail.diverse,459,900,122,0.09862570735650768
no.mail.drift,no.tegnsett,373,184,50,0.09861932938856016
no.alt.pompelog,no.news.drift,143,314,41,0.0985576923076923
no.general,no.marked.data,5597,6029,1041,0.09834671705243268
no.irc,no.kjemi,1348,663,180,0.09830693610049153
no.jus,no.tele,1720,1538,290,0.0977088948787062
no.ai,no.lisp,179,203,34,0.09770114942528736
no.biz.annonser,no.marked,1415,8022,839,0.09758083275180275
no.pc,no.tele,5333,1538,609,0.09725327371446822
