from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.prat.narkotika,no.marked.bil,4,1591,613
no.prat.narkotika,no.marked.bolig,4,1591,613
no.prat.narkotika,no.marked.diskusjon,4,1591,613
no.prat.politikk,no.prat.seksualitet,4,2527,1425
no.prat.seksualitet,no.jus,4,2367,181
no.prat.ufo,no.lisp,4,468,36
no.prat.ufo,no.marked.bil,4,468,36
no.prat.ufo,no.marked.bolig,4,468,36
no.prat.ufo,no.marked.diskusjon,4,468,36
no.pressemeldinger.diskusjon,unknown,4,24,12
no.psykologi,no.it.diverse,4,1209,553
no.psykologi,no.marked.data,4,1209,553
no.psykologi,no.ms-windows,4,1209,553
no.psykologi,no.uninett.skole,4,1209,553
no.psykologi,no.vr,4,1209,553
no.psykologi,no.www,4,1209,553
no.radio-tv,no.hobby.diverse,4,2524,676
no.radio-tv,no.unix,4,2524,676
no.radio_tv,no.uninett.skole,4,909,244
no.reiser,no.student.nett,4,746,84
no.reiser,no.student.samfund,4,746,84
no.religion,no.bil,4,14266,2206
no.religion,no.vitser,4,14266,2206
no.sources.list,no.film,4,12,12
no.sources.list,no.uninett.diverse,4,12,12
no.sources.list,no.uninett.drift,4,12,12
no.sources.list,no.uninett.hjelp,4,12,12
no.sources.list,no.uninett.katalog,4,12,12
no.sources.wanted,no.film,4,53,26
no.sources.wanted,no.marked.data,4,53,26
no.sources.wanted,no.uninett.diverse,4,53,26
no.sources.wanted,no.uninett.drift,4,53,26
no.sources.wanted,no.uninett.hjelp,4,53,26
no.sources.wanted,no.uninett.katalog,4,53,26
no.sources.wanted,unknown,4,53,26
no.speider,no.film,4,749,86
no.speider,no.uninett.diverse,4,749,86
no.speider,no.uninett.drift,4,749,86
no.speider,no.uninett.hjelp,4,749,86
no.speider,no.uninett.katalog,4,749,86
no.spill,no.musikk,4,5773,631
no.spill,no.uninett.drift,4,5773,631
no.spill,no.uninett.hjelp,4,5773,631
no.spill,no.uninett.katalog,4,5773,631
no.sport.diverse,no.uninett.drift,4,3164,378
no.sport.diverse,no.uninett.hjelp,4,3164,378
no.sport.diverse,no.uninett.katalog,4,3164,378
no.standard,no.musikk,4,64,38
no.standard,no.uninett.diverse,4,64,38
no.standard,no.uninett.drift,4,64,38
no.standard,no.uninett.hjelp,4,64,38
no.standard,no.uninett.katalog,4,64,38
no.stortinget,no.film,4,1495,626
no.stortinget,no.irc,4,1495,626
no.student.nett,no.biz.annonser,4,159,70
no.student.nett,no.marked,4,159,70
no.student.nett,no.reiser,4,159,70
no.student.nett,no.religion,4,159,70
no.student.samfund,no.biz.annonser,4,98,54
no.student.samfund,no.marked,4,98,54
no.student.samfund,no.reiser,4,98,54
no.tegnsett,no.film,4,313,139
no.tegnsett,no.sykkel,4,313,139
no.tegnsett,no.tele,4,313,139
no.tele,no.amiga,4,3203,694
no.telepost,no.film,4,537,316
no.telepost,no.musikk,4,537,316
no.telepost,no.uninett.diverse,4,537,316
no.telepost,no.uninett.drift,4,537,316
no.telepost,no.uninett.hjelp,4,537,316
no.telepost,no.uninett.katalog,4,537,316
no.test,no.vitser,4,1148,154
no.tungregning,no.uninett.diverse,4,14,8
no.tungregning,no.uninett.drift,4,14,8
no.tungregning,no.uninett.hjelp,4,14,8
no.tungregning,no.uninett.katalog,4,14,8
no.uninett.diverse,no.net,4,82,53
no.uninett.diverse,no.slekt,4,82,53
no.uninett.diverse,no.sources.list,4,82,53
no.uninett.diverse,no.sources.wanted,4,82,53
no.uninett.diverse,no.speider,4,82,53
no.uninett.diverse,no.standard,4,82,53
no.uninett.diverse,no.tegnsett,4,82,53
no.uninett.diverse,no.telepost,4,82,53
no.uninett.diverse,no.tungregning,4,82,53
no.uninett.diverse,no.uninett.katalog,4,82,53
no.uninett.drift,no.mail.diverse,4,47,20
no.uninett.drift,no.news.drift,4,47,20
no.uninett.drift,no.slekt,4,47,20
no.uninett.drift,no.sources.list,4,47,20
no.uninett.drift,no.sources.wanted,4,47,20
no.uninett.drift,no.speider,4,47,20
no.uninett.drift,no.spill,4,47,20
no.uninett.drift,no.sport.diverse,4,47,20
no.uninett.drift,no.standard,4,47,20
no.uninett.drift,no.tegnsett,4,47,20
no.uninett.drift,no.telepost,4,47,20
no.uninett.drift,no.tungregning,4,47,20
no.uninett.drift,no.uninett.hjelp,4,47,20
no.uninett.drift,no.uninett.katalog,4,47,20
no.uninett.hjelp,no.general,4,37,12
no.uninett.hjelp,no.slekt,4,37,12
no.uninett.hjelp,no.sources.list,4,37,12
no.uninett.hjelp,no.sources.wanted,4,37,12
no.uninett.hjelp,no.speider,4,37,12
no.uninett.hjelp,no.spill,4,37,12
no.uninett.hjelp,no.sport.diverse,4,37,12
no.uninett.hjelp,no.standard,4,37,12
no.uninett.hjelp,no.tegnsett,4,37,12
no.uninett.hjelp,no.telepost,4,37,12
no.uninett.hjelp,no.tungregning,4,37,12
no.uninett.hjelp,no.uninett.drift,4,37,12
no.uninett.hjelp,no.uninett.katalog,4,37,12
no.uninett.hjelp,unknown,4,37,12
no.uninett.katalog,no.slekt,4,11,5
no.uninett.katalog,no.sources.list,4,11,5
no.uninett.katalog,no.sources.wanted,4,11,5
no.uninett.katalog,no.speider,4,11,5
no.uninett.katalog,no.spill,4,11,5
no.uninett.katalog,no.sport.diverse,4,11,5
no.uninett.katalog,no.standard,4,11,5
no.uninett.katalog,no.tegnsett,4,11,5
no.uninett.katalog,no.telepost,4,11,5
no.uninett.katalog,no.tungregning,4,11,5
no.uninett.katalog,no.uninett.diverse,4,11,5
no.uninett.katalog,no.uninett.drift,4,11,5
no.uninett.katalog,no.uninett.hjelp,4,11,5
no.uninett.skole,no.marked.data,4,404,145
no.uninett.skole,no.net,4,404,145
no.unix,no.irc,4,2325,766
no.unix,no.mail.drift,4,2325,766
no.unix,no.ms-windows,4,2325,766
no.unix,no.vitser,4,2325,766
no.vit.diverse,no.audio,4,447,186
no.vit.diverse,no.elektronikk,4,447,186
no.vitser,no.musikk,4,4950,665
no.vitser,no.religion,4,4950,665
no.vitser,no.unix,4,4950,665
no.vr,unknown,4,62,24
no.www,no.multimedia,4,2032,312
no.www,no.psykologi,4,2032,312
no.x,no.marked,4,212,85
no.x,no.net,4,212,85
no.x,no.news.diverse,4,212,85
no.ai,no.irc,3,158,118
no.alkohol,no.irc,3,2049,918
no.alkohol,no.mail.diverse,3,2049,918
no.alt.arkiv,no.norsk,3,74,67
no.alt.arkiv,no.slekt,3,74,67
no.alt.arkiv,no.sources.wanted,3,74,67
no.alt.arkiv,no.stortinget,3,74,67
no.alt.arkiv,no.telepost,3,74,67
no.alt.config,no.ms-windows,3,451,283
no.alt.config,no.pc,3,451,283
no.alt.diskusjoner,no.marked.data,3,10536,4821
no.alt.diskusjoner,no.musikk.gitar,3,10536,4821
no.alt.diskusjoner,no.nuug,3,10536,4821
no.alt.diskusjoner,no.org.efn.diskusjon,3,10536,4821
no.alt.fan.de-lillos,no.alt.mat,3,115,8
no.alt.fan.de-lillos,no.audio,3,115,8
no.alt.fan.de-lillos,no.film,3,115,8
no.alt.fan.de-lillos,no.mail.diverse,3,115,8
no.alt.fan.de-lillos,no.marked,3,115,8
no.alt.fan.de-lillos,no.multimedia,3,115,8
no.alt.frustrasjoner,no.alt.fan.de-lillos,3,21167,4522
no.alt.frustrasjoner,no.biz.diskusjoner,3,21167,4522
no.alt.frustrasjoner,no.hobby.diverse,3,21167,4522
no.alt.frustrasjoner,no.x,3,21167,4522
no.alt.gledesutbrudd,no.uninett.skole,3,6405,1220
no.alt.god.jul,no.biz.annonser,3,399,231
no.alt.irctreff,unknown,3,292,10
no.alt.katter,no.vitser,3,1001,143
no.alt.mat,no.musikk,3,2055,461
no.alt.motorsykler,no.biz.annonser.data,3,26896,1305
no.alt.motorsykler,no.marked.jobb,3,26896,1305
no.alt.sjokolade,no.film,3,307,51
no.amiga,no.audio,3,2054,166
no.audio,no.alt.irc-treff,3,4947,852
no.audio,no.reiser,3,4947,852
no.bil,no.prat.politikk,3,3441,496
no.bil,no.tele,3,3441,496
no.biz.annonser,no.alkohol,3,746,501
no.biz.annonser,no.prat.ufo,3,746,501
no.biz.annonser,no.uninett.hjelp,3,746,501
no.biz.annonser.data,no.hobby.diverse,3,276,193
no.biz.nettilbydere,no.alkohol,3,479,145
no.biz.nettilbydere,no.alt.diskusjoner,3,479,145
no.biz.nettilbydere,no.alt.frustrasjoner,3,479,145
no.biz.nettilbydere,no.alt.mat,3,479,145
no.biz.nettilbydere,no.audio,3,479,145
no.biz.nettilbydere,no.film,3,479,145
no.biz.nettilbydere,no.mail.diverse,3,479,145
no.biz.nettilbydere,no.multimedia,3,479,145
no.c,no.ms-windows,3,1412,303
no.ef,no.religion,3,866,633
no.elektronikk,no.vit.diverse,3,1832,584
no.film,no.media,3,6949,1035
no.film,no.reiser,3,6949,1035
no.film,no.tungregning,3,6949,1035
no.folklore.generelt,no.prat.seksualitet,3,7,7
no.havforskning,no.uninett.diverse,3,243,165
no.havforskning,no.uninett.drift,3,243,165
no.havforskning,no.uninett.hjelp,3,243,165
no.havforskning,no.uninett.katalog,3,243,165
no.havforskning,no.uninett.skole,3,243,165
no.havforskning,no.unix,3,243,165
no.hobby.diverse,no.alkohol,3,159,79
no.hobby.diverse,no.alt.diskusjoner,3,159,79
no.hobby.diverse,no.alt.frustrasjoner,3,159,79
no.hobby.diverse,no.alt.mat,3,159,79
no.hobby.diverse,no.biz.annonser.data,3,159,79
no.hobby.diverse,no.it.diverse,3,159,79
no.hobby.diverse,no.mail.diverse,3,159,79
no.hobby.diverse,no.prat.ufo,3,159,79
no.irc,no.uninett.diverse,3,3970,1022
no.irc,no.uninett.drift,3,3970,1022
no.irc,no.uninett.hjelp,3,3970,1022
no.irc,no.uninett.katalog,3,3970,1022
no.irc,no.uninett.skole,3,3970,1022
no.it.diverse,no.biz.diskusjoner,3,330,168
no.it.diverse,no.hobby.diverse,3,330,168
no.jus,no.uninett.drift,3,5232,1998
no.jus,no.uninett.hjelp,3,5232,1998
no.jus,no.uninett.katalog,3,5232,1998
no.jus,no.uninett.skole,3,5232,1998
no.jus,no.unix,3,5232,1998
no.kjemi,no.uninett.diverse,3,830,350
no.kjemi,no.uninett.drift,3,830,350
no.kjemi,no.uninett.hjelp,3,830,350
no.kjemi,no.uninett.katalog,3,830,350
no.kjemi,no.uninett.skole,3,830,350
no.kjemi,no.unix,3,830,350
no.linux,no.marked.diskusjon,3,8833,1209
no.linux,no.prat.aksjer,3,8833,1209
no.linux,no.prat.narkotika,3,8833,1209
no.linux,no.prat.ufo,3,8833,1209
no.linux,no.uninett.diverse,3,8833,1209
no.linux,no.uninett.drift,3,8833,1209
no.linux,no.uninett.hjelp,3,8833,1209
no.linux,no.uninett.katalog,3,8833,1209
no.linux,no.uninett.skole,3,8833,1209
no.lisp,no.marked.diskusjon,3,373,193
no.lisp,no.prat.aksjer,3,373,193
no.lisp,no.prat.narkotika,3,373,193
no.lisp,no.prat.ufo,3,373,193
no.litteratur,no.prat.aksjer,3,2060,485
no.litteratur,no.uninett.diverse,3,2060,485
no.litteratur,no.uninett.drift,3,2060,485
no.litteratur,no.uninett.hjelp,3,2060,485
no.litteratur,no.uninett.katalog,3,2060,485
no.litteratur,no.unix,3,2060,485
no.mac,no.alt.diskusjoner,3,11681,1053
no.mac,no.prat.aksjer,3,11681,1053
no.mac,no.uninett.diverse,3,11681,1053
no.mac,no.uninett.drift,3,11681,1053
no.mac,no.uninett.hjelp,3,11681,1053
no.mac,no.uninett.katalog,3,11681,1053
no.mac,no.uninett.skole,3,11681,1053
no.mail.diverse,no.alkohol,3,1099,512
no.mail.diverse,no.prat.aksjer,3,1099,512
no.mail.diverse,no.tele,3,1099,512
no.mail.diverse,no.uninett.diverse,3,1099,512
no.mail.diverse,no.uninett.drift,3,1099,512
no.mail.diverse,no.uninett.hjelp,3,1099,512
no.mail.diverse,no.uninett.katalog,3,1099,512
no.mail.drift,no.ms-windows,3,307,207
no.mail.drift,no.prat.aksjer,3,307,207
no.mail.drift,no.uninett.diverse,3,307,207
no.mail.drift,no.uninett.hjelp,3,307,207
no.mail.drift,no.uninett.katalog,3,307,207
no.mail.drift,no.uninett.skole,3,307,207
no.marked,no.prat.aksjer,3,4847,1840
no.marked,no.reiser,3,4847,1840
no.marked,no.religion,3,4847,1840
no.marked,no.uninett.drift,3,4847,1840
no.marked,no.uninett.hjelp,3,4847,1840
no.marked,no.uninett.katalog,3,4847,1840
no.marked,no.video,3,4847,1840
no.marked.bil,no.ms-windows,3,204,61
no.marked.bil,no.musikk,3,204,61
no.marked.bil,no.prat.aksjer,3,204,61
no.marked.bolig,no.ms-windows,3,67,36
no.marked.bolig,no.prat.aksjer,3,67,36
no.marked.bolig,unknown,3,67,36
no.marked.data,no.news.drift,3,4910,1299
no.marked.data,no.psykologi,3,4910,1299
no.marked.data,no.radio_tv,3,4910,1299
no.marked.data,no.slekt,3,4910,1299
no.marked.data,no.sources.list,3,4910,1299
no.marked.data,no.speider,3,4910,1299
no.marked.data,no.standard,3,4910,1299
no.marked.data,no.tegnsett,3,4910,1299
no.marked.data,no.tungregning,3,4910,1299
no.marked.data,no.uninett.drift,3,4910,1299
no.marked.data,no.uninett.hjelp,3,4910,1299
no.marked.data,no.uninett.katalog,3,4910,1299
no.marked.diskusjon,no.linux,3,54,49
no.marked.diskusjon,no.ms-windows,3,54,49
no.marked.diskusjon,no.prat.aksjer,3,54,49
no.marked.jobb,no.alt.motorsykler,3,766,318
no.marked.jobb,no.prat.aksjer,3,766,318
no.marked.jobb,no.reiser,3,766,318
no.media,no.alkohol,3,58,45
no.media,no.alt.diskusjoner,3,58,45
no.media,no.alt.mat,3,58,45
no.media,no.linux,3,58,45
no.media,no.prat.aksjer,3,58,45
no.media,no.www,3,58,45
no.medisin,no.ms-windows,3,880,278
no.medisin,no.prat.aksjer,3,880,278
no.ms-windows,no.alt.config,3,4123,936
no.ms-windows,no.c,3,4123,936
no.ms-windows,no.marked.bil,3,4123,936
no.ms-windows,no.marked.bolig,3,4123,936
no.ms-windows,no.marked.diskusjon,3,4123,936
no.ms-windows,no.prat.aksjer,3,4123,936
no.ms-windows,no.prat.narkotika,3,4123,936
no.ms-windows,no.prat.ufo,3,4123,936
no.mswindow,no.mail.diverse,3,362,78
no.mswindow,no.unix,3,362,78
no.multimedia,no.prat.aksjer,3,954,581
no.multimedia,no.uninett.drift,3,954,581
no.multimedia,no.uninett.hjelp,3,954,581
no.multimedia,no.uninett.katalog,3,954,581
no.multimedia,no.uninett.skole,3,954,581
no.musikk,no.alt.fan.de-lillos,3,15532,1497
no.musikk,no.prat.aksjer,3,15532,1497
no.musikk,no.sources.list,3,15532,1497
no.musikk,no.sources.wanted,3,15532,1497
no.musikk,no.speider,3,15532,1497
no.musikk,no.tegnsett,3,15532,1497
no.musikk,no.tungregning,3,15532,1497
no.musikk,no.uninett.diverse,3,15532,1497
no.musikk,no.uninett.drift,3,15532,1497
no.musikk,no.uninett.hjelp,3,15532,1497
no.musikk,no.uninett.katalog,3,15532,1497
no.musikk,no.uninett.skole,3,15532,1497
no.musikk,no.unix,3,15532,1497
no.musikk.gitar,no.uninett.diverse,3,910,220
no.musikk.gitar,no.uninett.drift,3,910,220
no.musikk.gitar,no.uninett.hjelp,3,910,220
no.musikk.gitar,no.uninett.katalog,3,910,220
no.musikk.gitar,no.uninett.skole,3,910,220
no.musikk.gitar,no.unix,3,910,220
no.net,no.prat.aksjer,3,1110,523
no.net,no.uninett.hjelp,3,1110,523
no.net,no.uninett.katalog,3,1110,523
no.net,no.uninett.skole,3,1110,523
no.news.diverse,no.alt.katter,3,6024,2109
no.news.diverse,no.alt.mat.drikke,3,6024,2109
no.news.diverse,no.biz.diskusjoner,3,6024,2109
no.news.diverse,no.prat.narkotika,3,6024,2109
no.news.diverse,no.sources.list,3,6024,2109
no.news.diverse,no.sources.wanted,3,6024,2109
no.news.diverse,no.standard,3,6024,2109
no.news.diverse,no.student.samfund,3,6024,2109
no.news.diverse,no.tegnsett,3,6024,2109
no.news.diverse,no.tungregning,3,6024,2109
no.news.diverse,no.uninett.drift,3,6024,2109
no.news.diverse,no.uninett.hjelp,3,6024,2109
no.news.diverse,no.uninett.katalog,3,6024,2109
no.news.diverse,no.vit.diverse,3,6024,2109
no.news.drift,no.marked.data,3,345,185
no.news.drift,no.uninett.diverse,3,345,185
no.news.drift,no.uninett.hjelp,3,345,185
no.news.drift,no.uninett.katalog,3,345,185
no.news.drift,no.uninett.skole,3,345,185
no.norsk,no.alt.arkiv,3,11325,2296
no.norsk,no.prat.aksjer,3,11325,2296
no.norsk,no.student.nett,3,11325,2296
no.norsk,no.sykkel,3,11325,2296
no.norsk,no.uninett.drift,3,11325,2296
no.norsk,no.uninett.hjelp,3,11325,2296
no.norsk,no.uninett.katalog,3,11325,2296
no.norsk.fagord,no.linux,3,177,47
no.norsk.fagord,no.marked.jobb,3,177,47
no.norsk.fagord,no.musikk,3,177,47
no.norsk.fagord,no.prat.aksjer,3,177,47
no.norsk.fagord,no.typografi,3,177,47
no.nuug,no.marked.jobb,3,50,46
no.nuug,no.ms-windows,3,50,46
no.nuug,no.prat.aksjer,3,50,46
no.org.nobug.diverse,unknown,3,53,3
no.pc,no.alt.config,3,12883,2791
no.pc,no.prat.aksjer,3,12883,2791
no.pc,no.student.nett,3,12883,2791
no.pc,no.student.samfund,3,12883,2791
no.pc,no.uninett.drift,3,12883,2791
no.pc,no.uninett.hjelp,3,12883,2791
no.pc,no.uninett.katalog,3,12883,2791
no.perl,no.marked.bil,3,633,117
no.perl,no.marked.bolig,3,633,117
no.perl,no.marked.diskusjon,3,633,117
no.perl,no.ms-windows,3,633,117
no.perl,no.prat.aksjer,3,633,117
no.prat.aksjer,no.jus,3,478,46
no.prat.aksjer,no.linux,3,478,46
no.prat.aksjer,no.marked.bil,3,478,46
no.prat.aksjer,no.marked.bolig,3,478,46
no.prat.aksjer,no.marked.diskusjon,3,478,46
no.prat.aksjer,no.ms-windows,3,478,46
no.prat.aksjer,no.prat.narkotika,3,478,46
no.prat.aksjer,no.prat.ufo,3,478,46
no.prat.narkotika,no.linux,3,1591,613
no.prat.narkotika,no.marked.jobb,3,1591,613
no.prat.narkotika,no.ms-windows,3,1591,613
no.prat.narkotika,no.musikk,3,1591,613
no.prat.narkotika,no.prat.aksjer,3,1591,613
no.prat.narkotika,no.radio-tv,3,1591,613
no.prat.seksualitet,no.speider,3,2367,181
no.prat.ufo,no.linux,3,468,36
no.prat.ufo,no.marked.jobb,3,468,36
no.prat.ufo,no.ms-windows,3,468,36
no.prat.ufo,no.musikk,3,468,36
no.prat.ufo,no.prat.aksjer,3,468,36
no.pressemeldinger.diskusjon,no.general,3,24,12
no.pressemeldinger.diskusjon,no.pressemeldinger,3,24,12
no.psykologi,no.uninett.diverse,3,1209,553
no.psykologi,no.uninett.drift,3,1209,553
no.psykologi,no.uninett.hjelp,3,1209,553
no.psykologi,no.uninett.katalog,3,1209,553
no.psykologi,no.unix,3,1209,553
no.radio-tv,no.media,3,2524,676
no.radio-tv,no.news.drift,3,2524,676
no.radio-tv,no.nuug,3,2524,676
no.radio-tv,no.psykologi,3,2524,676
no.radio-tv,no.sources.list,3,2524,676
no.radio-tv,no.sources.wanted,3,2524,676
no.radio-tv,no.standard,3,2524,676
no.radio-tv,no.student.nett,3,2524,676
no.radio-tv,no.student.samfund,3,2524,676
no.radio-tv,no.tegnsett,3,2524,676
no.radio-tv,no.telepost,3,2524,676
no.radio-tv,no.tungregning,3,2524,676
no.radio-tv,no.typografi,3,2524,676
no.radio-tv,no.uninett.diverse,3,2524,676
no.radio-tv,no.uninett.drift,3,2524,676
no.radio-tv,no.uninett.hjelp,3,2524,676
no.radio-tv,no.uninett.katalog,3,2524,676
no.radio-tv,no.uninett.skole,3,2524,676
no.radio_tv,no.tele,3,909,244
no.reiser,no.audio,3,746,84
no.reiser,no.film,3,746,84
no.reiser,no.marked,3,746,84
no.reiser,no.marked.jobb,3,746,84
no.reiser,no.news.diverse,3,746,84
no.reiser,no.vitser,3,746,84
no.religion,no.slekt,3,14266,2206
no.religion,no.sport.diverse,3,14266,2206
no.religion,no.student.nett,3,14266,2206
no.religion,no.student.samfund,3,14266,2206
no.slekt,no.marked.data,3,2669,367
no.slekt,no.radio-tv,3,2669,367
no.slekt,no.religion,3,2669,367
no.slekt,no.slekt.programmer,3,2669,367
no.slekt,no.uninett.skole,3,2669,367
no.slekt,no.unix,3,2669,367
no.sources.list,no.marked.data,3,12,12
no.sources.list,no.musikk,3,12,12
no.sources.list,no.news.diverse,3,12,12
no.sources.list,no.uninett.skole,3,12,12
no.sources.list,no.unix,3,12,12
no.sources.wanted,no.alt.arkiv,3,53,26
no.sources.wanted,no.alt.diskusjoner,3,53,26
no.sources.wanted,no.general,3,53,26
no.sources.wanted,no.musikk,3,53,26
no.sources.wanted,no.news.diverse,3,53,26
no.sources.wanted,no.uninett.skole,3,53,26
no.sources.wanted,no.unix,3,53,26
no.speider,no.marked.data,3,749,86
no.speider,no.musikk,3,749,86
no.speider,no.prat.seksualitet,3,749,86
no.speider,no.radio-tv,3,749,86
no.speider,no.uninett.skole,3,749,86
no.speider,no.unix,3,749,86
no.spill,no.it.diverse,3,5773,631
no.spill,no.uninett.skole,3,5773,631
no.spill,no.unix,3,5773,631
no.sport.diverse,no.religion,3,3164,378
no.sport.diverse,no.uninett.skole,3,3164,378
no.sport.diverse,no.unix,3,3164,378
no.standard,no.alt.frustrasjoner,3,64,38
no.standard,no.alt.gledesutbrudd,3,64,38
no.standard,no.alt.god.jul,3,64,38
no.standard,no.alt.mat,3,64,38
no.standard,no.alt.motorsykler,3,64,38
no.standard,no.alt.pompelog,3,64,38
no.standard,no.alt.radio_tv.irma1000,3,64,38
no.standard,no.alt.tegneserier,3,64,38
no.standard,no.audio,3,64,38
no.standard,no.ef,3,64,38
no.standard,no.embnet,3,64,38
no.standard,no.eunet.diverse,3,64,38
no.standard,no.eunet.drift,3,64,38
no.standard,no.eunet.hjelp,3,64,38
no.standard,no.film,3,64,38
no.standard,no.marked.data,3,64,38
no.standard,no.news.diverse,3,64,38
no.standard,no.org.efn.diskusjon,3,64,38
no.standard,no.uninett.skole,3,64,38
no.standard,no.unix,3,64,38
no.stortinget,no.alt.arkiv,3,1495,626
no.stortinget,no.uninett.skole,3,1495,626
no.student.nett,no.litteratur,3,159,70
no.student.nett,no.norsk,3,159,70
no.student.nett,no.pc,3,159,70
no.student.nett,no.radio-tv,3,159,70
no.student.nett,no.uninett.diverse,3,159,70
no.student.nett,no.uninett.hjelp,3,159,70
no.student.nett,no.uninett.skole,3,159,70
no.student.samfund,no.pc,3,98,54
no.student.samfund,no.radio-tv,3,98,54
no.student.samfund,no.religion,3,98,54
no.student.samfund,no.uninett.diverse,3,98,54
no.student.samfund,no.uninett.hjelp,3,98,54
no.student.samfund,no.uninett.skole,3,98,54
no.student.samfund,unknown,3,98,54
no.tegnsett,no.uninett.diverse,3,313,139
no.tegnsett,no.uninett.drift,3,313,139
no.tegnsett,no.uninett.hjelp,3,313,139
no.tegnsett,no.uninett.katalog,3,313,139
no.tele,no.biz.annonser,3,3203,694
no.tele,no.standard,3,3203,694
no.telepost,no.alt.arkiv,3,537,316
no.telepost,no.marked.data,3,537,316
no.telepost,no.uninett.skole,3,537,316
no.telepost,no.unix,3,537,316
no.test,no.musikk.gitar,3,1148,154
no.test,no.speider,3,1148,154
no.tex,unknown,3,112,3
no.tungregning,no.marked.data,3,14,8
no.tungregning,no.musikk,3,14,8
no.tungregning,no.news.diverse,3,14,8
no.tungregning,no.stortinget,3,14,8
no.tungregning,no.uninett.skole,3,14,8
no.tungregning,no.unix,3,14,8
no.uninett.diverse,no.havforskning,3,82,53
no.uninett.diverse,no.irc,3,82,53
no.uninett.diverse,no.jus,3,82,53
no.uninett.diverse,no.kjemi,3,82,53
no.uninett.diverse,no.linux,3,82,53
no.uninett.diverse,no.litteratur,3,82,53
no.uninett.diverse,no.mac,3,82,53
no.uninett.diverse,no.mail.diverse,3,82,53
no.uninett.diverse,no.mail.drift,3,82,53
no.uninett.diverse,no.marked.data,3,82,53
no.uninett.diverse,no.musikk,3,82,53
no.uninett.diverse,no.musikk.gitar,3,82,53
no.uninett.diverse,no.news.drift,3,82,53
no.uninett.diverse,no.nuug,3,82,53
no.uninett.diverse,no.psykologi,3,82,53
no.uninett.diverse,no.student.nett,3,82,53
no.uninett.diverse,no.student.samfund,3,82,53
no.uninett.diverse,no.unix,3,82,53
no.uninett.drift,no.havforskning,3,47,20
no.uninett.drift,no.irc,3,47,20
no.uninett.drift,no.jus,3,47,20
no.uninett.drift,no.kjemi,3,47,20
no.uninett.drift,no.linux,3,47,20
no.uninett.drift,no.litteratur,3,47,20
no.uninett.drift,no.mac,3,47,20
no.uninett.drift,no.marked,3,47,20
no.uninett.drift,no.marked.data,3,47,20
no.uninett.drift,no.multimedia,3,47,20
no.uninett.drift,no.musikk,3,47,20
no.uninett.drift,no.musikk.gitar,3,47,20
no.uninett.drift,no.news.diverse,3,47,20
no.uninett.drift,no.norsk,3,47,20
no.uninett.drift,no.nuug,3,47,20
no.uninett.drift,no.pc,3,47,20
no.uninett.drift,no.psykologi,3,47,20
no.uninett.drift,no.radio_tv,3,47,20
no.uninett.drift,no.uninett.skole,3,47,20
no.uninett.drift,no.unix,3,47,20
no.uninett.hjelp,no.biz.annonser,3,37,12
no.uninett.hjelp,no.havforskning,3,37,12
no.uninett.hjelp,no.irc,3,37,12
no.uninett.hjelp,no.jus,3,37,12
no.uninett.hjelp,no.kjemi,3,37,12
no.uninett.hjelp,no.linux,3,37,12
no.uninett.hjelp,no.litteratur,3,37,12
no.uninett.hjelp,no.mac,3,37,12
no.uninett.hjelp,no.mail.diverse,3,37,12
no.uninett.hjelp,no.mail.drift,3,37,12
no.uninett.hjelp,no.marked,3,37,12
no.uninett.hjelp,no.marked.data,3,37,12
no.uninett.hjelp,no.multimedia,3,37,12
no.uninett.hjelp,no.musikk,3,37,12
no.uninett.hjelp,no.musikk.gitar,3,37,12
no.uninett.hjelp,no.net,3,37,12
no.uninett.hjelp,no.news.diverse,3,37,12
no.uninett.hjelp,no.news.drift,3,37,12
no.uninett.hjelp,no.norsk,3,37,12
no.uninett.hjelp,no.nuug,3,37,12
no.uninett.hjelp,no.pc,3,37,12
no.uninett.hjelp,no.psykologi,3,37,12
no.uninett.hjelp,no.radio_tv,3,37,12
no.uninett.hjelp,no.student.nett,3,37,12
no.uninett.hjelp,no.student.samfund,3,37,12
no.uninett.hjelp,no.unix,3,37,12
no.uninett.katalog,no.havforskning,3,11,5
no.uninett.katalog,no.irc,3,11,5
no.uninett.katalog,no.jus,3,11,5
no.uninett.katalog,no.kjemi,3,11,5
no.uninett.katalog,no.linux,3,11,5
no.uninett.katalog,no.litteratur,3,11,5
no.uninett.katalog,no.mac,3,11,5
no.uninett.katalog,no.mail.diverse,3,11,5
no.uninett.katalog,no.mail.drift,3,11,5
no.uninett.katalog,no.marked,3,11,5
no.uninett.katalog,no.marked.data,3,11,5
no.uninett.katalog,no.multimedia,3,11,5
no.uninett.katalog,no.musikk,3,11,5
no.uninett.katalog,no.musikk.gitar,3,11,5
no.uninett.katalog,no.net,3,11,5
no.uninett.katalog,no.news.diverse,3,11,5
no.uninett.katalog,no.news.drift,3,11,5
no.uninett.katalog,no.norsk,3,11,5
no.uninett.katalog,no.nuug,3,11,5
no.uninett.katalog,no.pc,3,11,5
no.uninett.katalog,no.psykologi,3,11,5
no.uninett.katalog,no.radio_tv,3,11,5
no.uninett.katalog,no.uninett.skole,3,11,5
no.uninett.katalog,no.unix,3,11,5
no.uninett.skole,no.havforskning,3,404,145
