from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.spill,no.alt.tegneserier,8,5773,631
no.spill,no.audio,8,5773,631
no.spill,no.film,8,5773,631
no.spill,no.standard,8,5773,631
no.spill,no.tungregning,8,5773,631
no.sport.diverse,no.alt.god.jul,8,3164,378
no.sport.diverse,no.audio,8,3164,378
no.sport.diverse,no.c,8,3164,378
no.sport.diverse,no.irc,8,3164,378
no.sport.diverse,no.reiser,8,3164,378
no.sport.diverse,no.standard,8,3164,378
no.sport.diverse,no.tungregning,8,3164,378
no.sport.diverse,no.vitser,8,3164,378
no.standard,no.telepost,8,64,38
no.stortinget,no.org.efn.diskusjon,8,1495,626
no.stortinget,no.sources.list,8,1495,626
no.stortinget,no.tegnsett,8,1495,626
no.student.nett,no.net,8,159,70
no.tegnsett,no.alt.gledesutbrudd,8,313,139
no.tegnsett,no.musikk.gitar,8,313,139
no.tegnsett,no.stortinget,8,313,139
no.tele,no.unix,8,3203,694
no.telepost,no.ef,8,537,316
no.telepost,no.tungregning,8,537,316
no.test,no.general,8,1148,154
no.test,no.marked.data,8,1148,154
no.uninett.skole,no.alt.gledesutbrudd,8,404,145
no.uninett.skole,no.biz.annonser,8,404,145
no.uninett.skole,no.mail.diverse,8,404,145
no.uninett.skole,no.marked,8,404,145
no.unix,no.jus,8,2325,766
no.vitser,no.jus,8,4950,665
no.vitser,no.kjemi,8,4950,665
no.www,no.irc,8,2032,312
no.ai,no.alt.god.jul,7,158,118
no.ai,no.alt.pompel-og-pilt,7,158,118
no.ai,no.eunet.diverse,7,158,118
no.ai,no.eunet.drift,7,158,118
no.ai,no.eunet.hjelp,7,158,118
no.ai,no.havforskning,7,158,118
no.alkohol,no.audio,7,2049,918
no.alkohol,no.eunet.diverse,7,2049,918
no.alkohol,no.eunet.drift,7,2049,918
no.alkohol,no.eunet.hjelp,7,2049,918
no.alkohol,no.havforskning,7,2049,918
no.alt.arkiv,no.alt.god.jul,7,74,67
no.alt.arkiv,no.alt.pompel-og-pilt,7,74,67
no.alt.arkiv,no.eunet.diverse,7,74,67
no.alt.arkiv,no.eunet.drift,7,74,67
no.alt.arkiv,no.eunet.hjelp,7,74,67
no.alt.arkiv,no.havforskning,7,74,67
no.alt.arkiv,no.jus,7,74,67
no.alt.config,no.alt.pompel-og-pilt,7,451,283
no.alt.config,no.eunet.diverse,7,451,283
no.alt.config,no.eunet.drift,7,451,283
no.alt.config,no.eunet.hjelp,7,451,283
no.alt.config,no.havforskning,7,451,283
no.alt.config,no.jus,7,451,283
no.alt.diskusjoner,no.alt.pompel-og-pilt,7,10536,4821
no.alt.diskusjoner,no.eunet.diverse,7,10536,4821
no.alt.flame,no.alt.pompel-og-pilt,7,16830,5387
no.alt.flame,no.bil,7,16830,5387
no.alt.flame,no.www,7,16830,5387
no.alt.frustrasjoner,no.it.diverse,7,21167,4522
no.alt.gledesutbrudd,no.bil,7,6405,1220
no.alt.gledesutbrudd,no.kjemi,7,6405,1220
no.alt.gledesutbrudd,no.mail.diverse,7,6405,1220
no.alt.gledesutbrudd,no.mail.drift,7,6405,1220
no.alt.gledesutbrudd,no.news.drift,7,6405,1220
no.alt.gledesutbrudd,no.nuug,7,6405,1220
no.alt.gledesutbrudd,no.org.efn.diskusjon,7,6405,1220
no.alt.gledesutbrudd,no.pc,7,6405,1220
no.alt.gledesutbrudd,no.slekt,7,6405,1220
no.alt.gledesutbrudd,no.sources.list,7,6405,1220
no.alt.gledesutbrudd,no.sources.wanted,7,6405,1220
no.alt.gledesutbrudd,no.speider,7,6405,1220
no.alt.gledesutbrudd,no.spill,7,6405,1220
no.alt.gledesutbrudd,no.stortinget,7,6405,1220
no.alt.gledesutbrudd,no.tegnsett,7,6405,1220
no.alt.gledesutbrudd,no.telepost,7,6405,1220
no.alt.god.jul,no.eunet.diverse,7,399,231
no.alt.god.jul,no.eunet.drift,7,399,231
no.alt.god.jul,no.eunet.hjelp,7,399,231
