from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.multimedia,no.mail.drift,949,31206,26667
no.biz.annonser,no.marked,943,6978,4924
no.lisp,no.general,942,12384,10668
no.multimedia,no.marked.data,942,31206,26667
no.alt.diskusjoner,no.marked,941,168368,81207
no.prat.narkotika,no.alt.diskusjoner,941,19057,7971
no.ef,no.havforskning,940,29077,23384
no.c,no.havforskning,939,23413,17227
no.multimedia,no.kjemi,934,31206,26667
no.alkohol,unknown,931,26420,13785
no.irc,no.org.efn.diskusjon,929,53520,29112
no.alt.diskusjoner,no.multimedia,927,168368,81207
no.embnet,no.film,926,17286,16200
no.embnet,no.irc,918,17286,16200
no.ef,no.film,916,29077,23384
no.c,no.film,915,23413,17227
no.havforskning,no.embnet,915,17004,15678
no.marked.data,no.multimedia,912,33874,20913
no.havforskning,no.c,910,17004,15678
no.audio,no.alt.diskusjoner,909,47065,21499
no.ef,no.irc,908,29077,23384
no.havforskning,no.ef,908,17004,15678
no.c,no.irc,907,23413,17227
no.mail.drift,no.marked.jobb,906,20201,18601
no.mail.diverse,no.marked.jobb,905,26660,21940
no.general,no.radio_tv,904,572652,195646
no.alt.tegneserier,no.film,900,18956,14973
no.marked.jobb,no.mac,898,20015,16808
no.bil,unknown,897,31226,13872
no.irc,no.havforskning,895,53520,29112
no.havforskning,no.irc,891,17004,15678
no.vitser,unknown,890,23838,5996
no.alt.diskusjoner,no.litteratur,888,168368,81207
no.linux,no.marked.jobb,887,55051,23868
no.film,no.embnet,885,51355,19630
no.irc,no.embnet,885,53520,29112
no.org.efn.diskusjon,no.irc,885,11860,7006
no.irc,no.film,884,53520,29112
no.prat.narkotika,no.prat.politikk,884,19057,7971
no.irc,no.c,881,53520,29112
no.film,no.c,879,51355,19630
no.film,no.irc,879,51355,19630
no.havforskning,no.film,878,17004,15678
no.irc,no.ef,878,53520,29112
no.film,no.ef,876,51355,19630
no.film,no.havforskning,874,51355,19630
