from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.havforskning,no.uninett.katalog,6,17004,15678
no.havforskning,no.uninett.skole,6,17004,15678
no.havforskning,no.unix,6,17004,15678
no.hobby.diverse,no.biz.annonser.data,6,3441,2826
no.hobby.diverse,no.it.diverse,6,3441,2826
no.irc,no.uninett.diverse,6,53520,29112
no.irc,no.uninett.drift,6,53520,29112
no.irc,no.uninett.hjelp,6,53520,29112
no.irc,no.uninett.katalog,6,53520,29112
no.irc,no.uninett.skole,6,53520,29112
no.it.diverse,no.hobby.diverse,6,2530,1534
no.it.diverse,no.tele,6,2530,1534
no.it.emacs,no.uninett.skole,6,3435,945
no.jus,no.uninett.drift,6,59888,34547
no.jus,no.uninett.hjelp,6,59888,34547
no.jus,no.uninett.katalog,6,59888,34547
no.jus,no.uninett.skole,6,59888,34547
no.jus,no.unix,6,59888,34547
no.kjemi,no.uninett.diverse,6,25136,21500
no.kjemi,no.uninett.drift,6,25136,21500
no.kjemi,no.uninett.hjelp,6,25136,21500
no.kjemi,no.uninett.katalog,6,25136,21500
no.kjemi,no.uninett.skole,6,25136,21500
no.kjemi,no.unix,6,25136,21500
no.linux,no.marked.diskusjon,6,55051,23868
no.linux,no.prat.aksjer,6,55051,23868
no.linux,no.prat.narkotika,6,55051,23868
no.linux,no.prat.ufo,6,55051,23868
no.linux,no.uninett.diverse,6,55051,23868
no.linux,no.uninett.drift,6,55051,23868
no.linux,no.uninett.hjelp,6,55051,23868
no.linux,no.uninett.katalog,6,55051,23868
no.linux,no.uninett.skole,6,55051,23868
no.lisp,no.marked.diskusjon,6,12384,10668
no.lisp,no.prat.aksjer,6,12384,10668
no.lisp,no.prat.narkotika,6,12384,10668
no.lisp,no.prat.ufo,6,12384,10668
no.litteratur,no.alt.arkiv,6,29283,20463
no.litteratur,no.uninett.diverse,6,29283,20463
no.litteratur,no.uninett.drift,6,29283,20463
no.litteratur,no.uninett.hjelp,6,29283,20463
no.litteratur,no.uninett.katalog,6,29283,20463
no.litteratur,no.unix,6,29283,20463
no.mail.diverse,no.alkohol,6,26660,21940
no.mail.diverse,no.mswindow,6,26660,21940
no.mail.diverse,no.uninett.diverse,6,26660,21940
no.mail.diverse,no.uninett.drift,6,26660,21940
no.mail.diverse,no.uninett.hjelp,6,26660,21940
no.mail.diverse,no.uninett.katalog,6,26660,21940
no.mail.drift,no.uninett.diverse,6,20201,18601
no.mail.drift,no.uninett.hjelp,6,20201,18601
no.mail.drift,no.uninett.katalog,6,20201,18601
no.mail.drift,no.uninett.skole,6,20201,18601
no.marked,no.uninett.drift,6,50284,36323
no.marked,no.uninett.hjelp,6,50284,36323
no.marked,no.uninett.katalog,6,50284,36323
no.marked.data,no.amiga,6,33874,20913
no.marked.data,no.news.drift,6,33874,20913
no.marked.data,no.psykologi,6,33874,20913
no.marked.data,no.slekt,6,33874,20913
no.marked.data,no.sources.list,6,33874,20913
no.marked.data,no.speider,6,33874,20913
no.marked.data,no.standard,6,33874,20913
no.marked.data,no.tegnsett,6,33874,20913
no.marked.data,no.tungregning,6,33874,20913
no.marked.data,no.uninett.drift,6,33874,20913
no.marked.data,no.uninett.hjelp,6,33874,20913
no.marked.data,no.uninett.katalog,6,33874,20913
no.media,no.prat.politikk,6,862,728
no.media,no.prat.seksualitet,6,862,728
no.ms-windows,no.alt.config,6,21902,9781
no.ms-windows,no.c,6,21902,9781
no.ms-windows,no.marked.bil,6,21902,9781
no.ms-windows,no.marked.bolig,6,21902,9781
no.ms-windows,no.marked.diskusjon,6,21902,9781
no.ms-windows,no.prat.aksjer,6,21902,9781
no.ms-windows,no.prat.narkotika,6,21902,9781
no.ms-windows,no.prat.ufo,6,21902,9781
no.multimedia,no.uninett.drift,6,31206,26667
no.multimedia,no.uninett.hjelp,6,31206,26667
no.multimedia,no.uninett.katalog,6,31206,26667
no.multimedia,no.uninett.skole,6,31206,26667
no.musikk,no.sources.list,6,140052,23221
no.musikk,no.sources.wanted,6,140052,23221
no.musikk,no.speider,6,140052,23221
no.musikk,no.tegnsett,6,140052,23221
no.musikk,no.tungregning,6,140052,23221
no.musikk,no.uninett.diverse,6,140052,23221
no.musikk,no.uninett.drift,6,140052,23221
no.musikk,no.uninett.hjelp,6,140052,23221
no.musikk,no.uninett.katalog,6,140052,23221
no.musikk,no.uninett.skole,6,140052,23221
no.musikk,no.unix,6,140052,23221
no.musikk.gitar,no.alt.fan.de-lillos,6,15536,12739
no.musikk.gitar,no.uninett.diverse,6,15536,12739
no.musikk.gitar,no.uninett.drift,6,15536,12739
no.musikk.gitar,no.uninett.hjelp,6,15536,12739
no.musikk.gitar,no.uninett.katalog,6,15536,12739
no.musikk.gitar,no.uninett.skole,6,15536,12739
no.musikk.gitar,no.unix,6,15536,12739
no.net,no.uninett.hjelp,6,23765,19184
no.net,no.uninett.katalog,6,23765,19184
no.net,no.uninett.skole,6,23765,19184
no.net,no.x,6,23765,19184
no.news.diverse,no.sources.list,6,62629,27354
no.news.diverse,no.sources.wanted,6,62629,27354
no.news.diverse,no.standard,6,62629,27354
no.news.diverse,no.student.nett,6,62629,27354
no.news.diverse,no.student.samfund,6,62629,27354
no.news.diverse,no.tegnsett,6,62629,27354
no.news.diverse,no.tungregning,6,62629,27354
no.news.diverse,no.uninett.drift,6,62629,27354
no.news.diverse,no.uninett.hjelp,6,62629,27354
no.news.diverse,no.uninett.katalog,6,62629,27354
no.news.drift,no.marked.data,6,6403,5345
no.news.drift,no.uninett.diverse,6,6403,5345
no.news.drift,no.uninett.hjelp,6,6403,5345
no.news.drift,no.uninett.katalog,6,6403,5345
no.news.drift,no.uninett.skole,6,6403,5345
no.norsk,no.student.nett,6,107590,28991
no.norsk,no.uninett.drift,6,107590,28991
no.norsk,no.uninett.hjelp,6,107590,28991
no.norsk,no.uninett.katalog,6,107590,28991
no.pc,no.alt.config,6,72503,28078
no.pc,no.uninett.drift,6,72503,28078
no.pc,no.uninett.hjelp,6,72503,28078
no.pc,no.uninett.katalog,6,72503,28078
no.perl,no.marked.bil,6,3503,972
no.perl,no.marked.bolig,6,3503,972
no.perl,no.marked.diskusjon,6,3503,972
no.perl,no.ms-windows,6,3503,972
no.perl,no.prat.aksjer,6,3503,972
no.prat.aksjer,no.jus,6,1613,355
no.prat.politikk,no.alt.frustrasjoner,6,51683,26609
no.prat.politikk,no.media,6,51683,26609
no.prat.politikk,no.www,6,51683,26609
no.prat.seksualitet,no.media,6,25183,3836
no.prat.seksualitet,no.perl,6,25183,3836
no.prat.seksualitet,no.prat.narkotika,6,25183,3836
no.prat.seksualitet,no.prat.ufo,6,25183,3836
no.prat.seksualitet,no.pressemeldinger.diskusjon,6,25183,3836
no.prat.seksualitet,no.radio-tv,6,25183,3836
no.prat.seksualitet,no.reiser,6,25183,3836
no.prat.seksualitet,no.religion,6,25183,3836
no.prat.seksualitet,no.slekt,6,25183,3836
no.prat.seksualitet,no.spill,6,25183,3836
no.prat.seksualitet,no.spill.rollespill,6,25183,3836
no.prat.seksualitet,no.spill.sjakk,6,25183,3836
no.prat.seksualitet,no.sport.diverse,6,25183,3836
no.prat.seksualitet,no.sport.fotball,6,25183,3836
no.prat.seksualitet,no.www,6,25183,3836
no.psykologi,no.uninett.diverse,6,17960,9534
no.psykologi,no.uninett.drift,6,17960,9534
no.psykologi,no.uninett.hjelp,6,17960,9534
no.psykologi,no.uninett.katalog,6,17960,9534
no.psykologi,no.unix,6,17960,9534
no.radio-tv,no.media,6,15586,5574
no.radio-tv,no.unix,6,15586,5574
no.radio_tv,no.tele,6,6092,3057
no.reiser,no.vitser,6,2299,410
no.religion,no.litteratur,6,143204,29159
no.religion,no.norsk,6,143204,29159
no.religion,no.slekt,6,143204,29159
no.religion,no.sport.diverse,6,143204,29159
no.religion,no.test,6,143204,29159
no.slekt,no.marked.data,6,8720,2814
no.slekt,no.radio-tv,6,8720,2814
no.slekt,no.religion,6,8720,2814
no.slekt,no.slekt.programmer,6,8720,2814
no.slekt,no.uninett.skole,6,8720,2814
no.slekt,no.unix,6,8720,2814
no.sources.list,no.marked.data,6,1388,1355
no.sources.list,no.musikk,6,1388,1355
no.sources.list,no.news.diverse,6,1388,1355
no.sources.list,no.uninett.skole,6,1388,1355
no.sources.list,no.unix,6,1388,1355
no.sources.wanted,no.musikk,6,1564,1441
no.sources.wanted,no.news.diverse,6,1564,1441
no.sources.wanted,no.uninett.skole,6,1564,1441
no.sources.wanted,no.unix,6,1564,1441
no.speider,no.marked.data,6,4784,1847
no.speider,no.musikk,6,4784,1847
no.speider,no.radio-tv,6,4784,1847
no.speider,no.uninett.skole,6,4784,1847
no.speider,no.unix,6,4784,1847
no.spill,no.it.diverse,6,30675,6456
no.spill,no.uninett.skole,6,30675,6456
no.spill,no.unix,6,30675,6456
no.sport.diverse,no.religion,6,15689,4266
no.sport.diverse,no.uninett.skole,6,15689,4266
no.sport.diverse,no.unix,6,15689,4266
no.standard,no.alt.frustrasjoner,6,928,767
no.standard,no.alt.gledesutbrudd,6,928,767
no.standard,no.alt.god.jul,6,928,767
no.standard,no.alt.mat,6,928,767
no.standard,no.alt.motorsykler,6,928,767
no.standard,no.alt.pompelog,6,928,767
no.standard,no.alt.radio_tv.irma1000,6,928,767
no.standard,no.alt.tegneserier,6,928,767
no.standard,no.audio,6,928,767
no.standard,no.ef,6,928,767
no.standard,no.embnet,6,928,767
no.standard,no.eunet.diverse,6,928,767
no.standard,no.eunet.drift,6,928,767
no.standard,no.eunet.hjelp,6,928,767
no.standard,no.film,6,928,767
no.standard,no.marked.data,6,928,767
no.standard,no.news.diverse,6,928,767
no.standard,no.org.efn.diskusjon,6,928,767
no.standard,no.uninett.skole,6,928,767
no.standard,no.unix,6,928,767
no.student.nett,no.norsk,6,947,527
no.sykkel,no.alt.motorsykler,6,9200,1677
no.tegnsett,no.uninett.diverse,6,2870,1883
no.tegnsett,no.uninett.drift,6,2870,1883
no.tegnsett,no.uninett.hjelp,6,2870,1883
no.tegnsett,no.uninett.katalog,6,2870,1883
no.tele,no.it.diverse,6,19324,7115
no.tele,no.uninett.drift,6,19324,7115
no.telepost,no.marked.data,6,7580,5114
no.telepost,no.uninett.skole,6,7580,5114
no.telepost,no.unix,6,7580,5114
no.test,no.alt.frustrasjoner,6,1919,307
no.tungregning,no.marked.data,6,528,506
no.tungregning,no.musikk,6,528,506
no.tungregning,no.news.diverse,6,528,506
no.tungregning,no.uninett.skole,6,528,506
no.tungregning,no.unix,6,528,506
no.tungregning,unknown,6,528,506
no.uninett.diverse,no.havforskning,6,1453,1230
no.uninett.diverse,no.irc,6,1453,1230
no.uninett.diverse,no.jus,6,1453,1230
no.uninett.diverse,no.kjemi,6,1453,1230
no.uninett.diverse,no.linux,6,1453,1230
no.uninett.diverse,no.litteratur,6,1453,1230
no.uninett.diverse,no.mac,6,1453,1230
no.uninett.diverse,no.mail.diverse,6,1453,1230
no.uninett.diverse,no.mail.drift,6,1453,1230
no.uninett.diverse,no.marked.data,6,1453,1230
no.uninett.diverse,no.musikk,6,1453,1230
no.uninett.diverse,no.musikk.gitar,6,1453,1230
no.uninett.diverse,no.news.drift,6,1453,1230
no.uninett.diverse,no.nuug,6,1453,1230
no.uninett.diverse,no.psykologi,6,1453,1230
no.uninett.diverse,no.unix,6,1453,1230
no.uninett.drift,no.havforskning,6,395,311
no.uninett.drift,no.irc,6,395,311
no.uninett.drift,no.jus,6,395,311
no.uninett.drift,no.kjemi,6,395,311
no.uninett.drift,no.linux,6,395,311
no.uninett.drift,no.litteratur,6,395,311
no.uninett.drift,no.mac,6,395,311
no.uninett.drift,no.marked,6,395,311
no.uninett.drift,no.marked.data,6,395,311
no.uninett.drift,no.multimedia,6,395,311
no.uninett.drift,no.musikk,6,395,311
no.uninett.drift,no.musikk.gitar,6,395,311
no.uninett.drift,no.news.diverse,6,395,311
no.uninett.drift,no.norsk,6,395,311
no.uninett.drift,no.nuug,6,395,311
no.uninett.drift,no.pc,6,395,311
no.uninett.drift,no.psykologi,6,395,311
no.uninett.drift,no.tele,6,395,311
no.uninett.drift,no.uninett.skole,6,395,311
no.uninett.drift,no.unix,6,395,311
no.uninett.hjelp,no.havforskning,6,405,340
no.uninett.hjelp,no.irc,6,405,340
no.uninett.hjelp,no.jus,6,405,340
no.uninett.hjelp,no.kjemi,6,405,340
no.uninett.hjelp,no.linux,6,405,340
no.uninett.hjelp,no.litteratur,6,405,340
no.uninett.hjelp,no.mac,6,405,340
no.uninett.hjelp,no.mail.diverse,6,405,340
no.uninett.hjelp,no.mail.drift,6,405,340
no.uninett.hjelp,no.marked,6,405,340
no.uninett.hjelp,no.marked.data,6,405,340
no.uninett.hjelp,no.multimedia,6,405,340
no.uninett.hjelp,no.musikk,6,405,340
no.uninett.hjelp,no.musikk.gitar,6,405,340
no.uninett.hjelp,no.net,6,405,340
no.uninett.hjelp,no.news.diverse,6,405,340
no.uninett.hjelp,no.news.drift,6,405,340
no.uninett.hjelp,no.norsk,6,405,340
no.uninett.hjelp,no.nuug,6,405,340
no.uninett.hjelp,no.pc,6,405,340
no.uninett.hjelp,no.psykologi,6,405,340
no.uninett.hjelp,no.unix,6,405,340
no.uninett.katalog,no.havforskning,6,295,274
no.uninett.katalog,no.irc,6,295,274
no.uninett.katalog,no.jus,6,295,274
no.uninett.katalog,no.kjemi,6,295,274
no.uninett.katalog,no.linux,6,295,274
no.uninett.katalog,no.litteratur,6,295,274
no.uninett.katalog,no.mac,6,295,274
no.uninett.katalog,no.mail.diverse,6,295,274
no.uninett.katalog,no.mail.drift,6,295,274
no.uninett.katalog,no.marked,6,295,274
no.uninett.katalog,no.marked.data,6,295,274
no.uninett.katalog,no.multimedia,6,295,274
no.uninett.katalog,no.musikk,6,295,274
no.uninett.katalog,no.musikk.gitar,6,295,274
no.uninett.katalog,no.net,6,295,274
no.uninett.katalog,no.news.diverse,6,295,274
no.uninett.katalog,no.news.drift,6,295,274
no.uninett.katalog,no.norsk,6,295,274
no.uninett.katalog,no.nuug,6,295,274
no.uninett.katalog,no.pc,6,295,274
no.uninett.katalog,no.psykologi,6,295,274
no.uninett.katalog,no.uninett.skole,6,295,274
no.uninett.katalog,no.unix,6,295,274
no.uninett.skole,no.havforskning,6,3275,1722
no.uninett.skole,no.irc,6,3275,1722
no.uninett.skole,no.jus,6,3275,1722
no.uninett.skole,no.kjemi,6,3275,1722
no.uninett.skole,no.linux,6,3275,1722
no.uninett.skole,no.mac,6,3275,1722
no.uninett.skole,no.mail.drift,6,3275,1722
no.uninett.skole,no.multimedia,6,3275,1722
no.uninett.skole,no.musikk,6,3275,1722
no.uninett.skole,no.musikk.gitar,6,3275,1722
no.uninett.skole,no.news.drift,6,3275,1722
no.uninett.skole,no.nuug,6,3275,1722
no.uninett.skole,no.psykologi,6,3275,1722
no.uninett.skole,no.slekt,6,3275,1722
no.uninett.skole,no.sources.list,6,3275,1722
no.uninett.skole,no.sources.wanted,6,3275,1722
no.uninett.skole,no.speider,6,3275,1722
no.uninett.skole,no.spill,6,3275,1722
no.uninett.skole,no.sport.diverse,6,3275,1722
no.uninett.skole,no.standard,6,3275,1722
no.uninett.skole,no.tegnsett,6,3275,1722
no.uninett.skole,no.telepost,6,3275,1722
no.uninett.skole,no.tungregning,6,3275,1722
no.uninett.skole,no.uninett.drift,6,3275,1722
no.uninett.skole,no.uninett.katalog,6,3275,1722
no.uninett.skole,no.unix,6,3275,1722
no.unix,no.havforskning,6,14256,4998
no.unix,no.kjemi,6,14256,4998
no.unix,no.litteratur,6,14256,4998
no.unix,no.musikk,6,14256,4998
no.unix,no.musikk.gitar,6,14256,4998
no.unix,no.psykologi,6,14256,4998
no.unix,no.slekt,6,14256,4998
no.unix,no.sources.list,6,14256,4998
no.unix,no.sources.wanted,6,14256,4998
no.unix,no.speider,6,14256,4998
no.unix,no.spill,6,14256,4998
no.unix,no.sport.diverse,6,14256,4998
no.unix,no.standard,6,14256,4998
no.unix,no.telepost,6,14256,4998
no.unix,no.tungregning,6,14256,4998
no.unix,no.uninett.diverse,6,14256,4998
no.unix,no.uninett.drift,6,14256,4998
no.unix,no.uninett.hjelp,6,14256,4998
no.unix,no.uninett.katalog,6,14256,4998
no.unix,no.uninett.skole,6,14256,4998
no.vitser,no.musikk,6,23838,5996
no.x,no.net,6,765,280
no.alt.diskusjoner,no.marked.data,5,168368,81207
no.alt.diskusjoner,no.typografi,5,168368,81207
no.alt.fan.de-lillos,no.alt.mat,5,402,77
no.alt.fan.de-lillos,no.audio,5,402,77
no.alt.fan.de-lillos,no.film,5,402,77
no.alt.fan.de-lillos,no.mail.diverse,5,402,77
no.alt.fan.de-lillos,no.marked,5,402,77
no.alt.fan.de-lillos,no.multimedia,5,402,77
no.alt.flame,no.radio_tv,5,156932,49658
no.alt.frustrasjoner,no.alt.fan.de-lillos,5,142818,41663
no.alt.frustrasjoner,no.biz.diskusjoner,5,142818,41663
no.alt.god.jul,no.vitser,5,14888,13251
no.alt.irctreff,unknown,5,1352,116
no.bil,no.tele,5,31226,13872
no.biz.annonser,no.alkohol,5,6978,4924
no.biz.annonser,no.alt.god.jul,5,6978,4924
no.biz.nettilbydere,no.alkohol,5,5604,2699
no.biz.nettilbydere,no.alt.diskusjoner,5,5604,2699
no.biz.nettilbydere,no.alt.frustrasjoner,5,5604,2699
no.biz.nettilbydere,no.alt.mat,5,5604,2699
no.biz.nettilbydere,no.audio,5,5604,2699
no.biz.nettilbydere,no.film,5,5604,2699
no.biz.nettilbydere,no.mail.diverse,5,5604,2699
no.biz.nettilbydere,no.multimedia,5,5604,2699
no.ef,no.alt.irc-treff,5,29077,23384
no.elektronikk,no.alt.irc-treff,5,24612,17793
no.eunet.drift,unknown,5,2743,2106
no.general,no.sources.list,5,572652,195646
no.general,no.sport.fotball,5,572652,195646
no.general,no.tungregning,5,572652,195646
no.hobby.diverse,no.alkohol,5,3441,2826
no.hobby.diverse,no.alt.diskusjoner,5,3441,2826
no.hobby.diverse,no.alt.frustrasjoner,5,3441,2826
no.hobby.diverse,no.alt.mat,5,3441,2826
no.hobby.diverse,no.mail.diverse,5,3441,2826
no.it.diverse,no.it.os.os2,5,2530,1534
no.it.diverse,no.unix,5,2530,1534
no.it.emacs,no.alt.flame,5,3435,945
no.it.emacs,no.alt.frustrasjoner,5,3435,945
no.jus,no.prat.aksjer,5,59888,34547
no.linux,no.biz.annonser.data,5,55051,23868
no.litteratur,no.spill.rollespill,5,29283,20463
no.marked,no.student.nett,5,50284,36323
no.marked,no.student.samfund,5,50284,36323
no.marked.jobb,no.news.drift,5,20015,16808
no.media,no.alkohol,5,862,728
no.media,no.alt.diskusjoner,5,862,728
no.media,no.alt.mat,5,862,728
no.mswindow,no.mail.diverse,5,1132,348
no.musikk,no.amiga,5,140052,23221
no.musikk,no.radio_tv,5,140052,23221
no.net,no.www,5,23765,19184
no.news.drift,no.marked.jobb,5,6403,5345
no.org.decus,unknown,5,18,8
no.perl,no.prat.politikk,5,3503,972
no.perl,no.prat.seksualitet,5,3503,972
no.perl,no.pressemeldinger.diskusjon,5,3503,972
no.perl,no.radio-tv,5,3503,972
no.perl,no.reiser,5,3503,972
no.perl,no.religion,5,3503,972
no.perl,no.slekt,5,3503,972
no.perl,no.speider,5,3503,972
no.perl,no.spill,5,3503,972
no.perl,no.spill.rollespill,5,3503,972
no.perl,no.spill.sjakk,5,3503,972
no.perl,no.sport.diverse,5,3503,972
no.perl,no.sport.fotball,5,3503,972
no.prat.narkotika,no.prat.seksualitet,5,19057,7971
no.prat.narkotika,no.pressemeldinger.diskusjon,5,19057,7971
no.prat.narkotika,no.reiser,5,19057,7971
no.prat.narkotika,no.slekt,5,19057,7971
no.prat.narkotika,no.speider,5,19057,7971
no.prat.narkotika,no.spill,5,19057,7971
no.prat.narkotika,no.spill.rollespill,5,19057,7971
no.prat.narkotika,no.spill.sjakk,5,19057,7971
no.prat.narkotika,no.sport.diverse,5,19057,7971
no.prat.narkotika,no.sport.fotball,5,19057,7971
no.prat.politikk,no.musikk.klassisk,5,51683,26609
no.prat.politikk,no.perl,5,51683,26609
no.prat.politikk,no.prat.ufo,5,51683,26609
no.prat.politikk,no.radio-tv,5,51683,26609
no.prat.politikk,no.reiser,5,51683,26609
no.prat.politikk,no.slekt,5,51683,26609
no.prat.politikk,no.speider,5,51683,26609
no.prat.politikk,no.spill,5,51683,26609
no.prat.politikk,no.spill.rollespill,5,51683,26609
no.prat.politikk,no.spill.sjakk,5,51683,26609
no.prat.politikk,no.sport.diverse,5,51683,26609
no.prat.politikk,no.sport.fotball,5,51683,26609
no.prat.ufo,no.prat.politikk,5,4761,628
no.prat.ufo,no.prat.seksualitet,5,4761,628
no.prat.ufo,no.pressemeldinger.diskusjon,5,4761,628
no.prat.ufo,no.reiser,5,4761,628
no.prat.ufo,no.religion,5,4761,628
no.prat.ufo,no.slekt,5,4761,628
no.prat.ufo,no.speider,5,4761,628
no.prat.ufo,no.spill,5,4761,628
no.prat.ufo,no.spill.rollespill,5,4761,628
no.prat.ufo,no.spill.sjakk,5,4761,628
no.prat.ufo,no.sport.diverse,5,4761,628
no.prat.ufo,no.sport.fotball,5,4761,628
no.pressemeldinger.diskusjon,no.perl,5,155,112
no.pressemeldinger.diskusjon,no.prat.narkotika,5,155,112
no.pressemeldinger.diskusjon,no.prat.seksualitet,5,155,112
no.pressemeldinger.diskusjon,no.prat.ufo,5,155,112
no.pressemeldinger.diskusjon,no.radio-tv,5,155,112
no.pressemeldinger.diskusjon,no.reiser,5,155,112
no.pressemeldinger.diskusjon,no.religion,5,155,112
no.pressemeldinger.diskusjon,no.slekt,5,155,112
no.pressemeldinger.diskusjon,no.speider,5,155,112
no.pressemeldinger.diskusjon,no.spill,5,155,112
no.pressemeldinger.diskusjon,no.spill.rollespill,5,155,112
no.pressemeldinger.diskusjon,no.spill.sjakk,5,155,112
no.pressemeldinger.diskusjon,no.sport.diverse,5,155,112
no.pressemeldinger.diskusjon,no.sport.fotball,5,155,112
no.radio-tv,no.alt.gledesutbrudd,5,15586,5574
no.radio-tv,no.news.drift,5,15586,5574
no.radio-tv,no.nuug,5,15586,5574
no.radio-tv,no.perl,5,15586,5574
no.radio-tv,no.prat.narkotika,5,15586,5574
no.radio-tv,no.prat.politikk,5,15586,5574
no.radio-tv,no.prat.seksualitet,5,15586,5574
no.radio-tv,no.pressemeldinger.diskusjon,5,15586,5574
no.radio-tv,no.psykologi,5,15586,5574
no.radio-tv,no.reiser,5,15586,5574
no.radio-tv,no.sources.list,5,15586,5574
no.radio-tv,no.sources.wanted,5,15586,5574
no.radio-tv,no.spill.rollespill,5,15586,5574
no.radio-tv,no.spill.sjakk,5,15586,5574
no.radio-tv,no.sport.fotball,5,15586,5574
no.radio-tv,no.standard,5,15586,5574
no.radio-tv,no.tegnsett,5,15586,5574
no.radio-tv,no.telepost,5,15586,5574
no.radio-tv,no.tungregning,5,15586,5574
no.radio-tv,no.uninett.diverse,5,15586,5574
no.radio-tv,no.uninett.drift,5,15586,5574
no.radio-tv,no.uninett.hjelp,5,15586,5574
no.radio-tv,no.uninett.katalog,5,15586,5574
no.radio-tv,no.uninett.skole,5,15586,5574
no.reiser,no.perl,5,2299,410
no.reiser,no.prat.narkotika,5,2299,410
no.reiser,no.prat.politikk,5,2299,410
no.reiser,no.prat.seksualitet,5,2299,410
no.reiser,no.prat.ufo,5,2299,410
no.reiser,no.pressemeldinger.diskusjon,5,2299,410
no.reiser,no.radio-tv,5,2299,410
no.reiser,no.religion,5,2299,410
no.reiser,no.spill.rollespill,5,2299,410
no.reiser,no.spill.sjakk,5,2299,410
no.reiser,no.sport.fotball,5,2299,410
no.religion,no.perl,5,143204,29159
no.religion,no.prat.seksualitet,5,143204,29159
no.religion,no.prat.ufo,5,143204,29159
no.religion,no.pressemeldinger.diskusjon,5,143204,29159
no.religion,no.reiser,5,143204,29159
no.religion,no.speider,5,143204,29159
no.religion,no.spill.rollespill,5,143204,29159
no.religion,no.spill.sjakk,5,143204,29159
no.religion,no.sport.fotball,5,143204,29159
no.slekt,no.alt.arkiv,5,8720,2814
no.slekt,no.perl,5,8720,2814
no.slekt,no.prat.narkotika,5,8720,2814
no.slekt,no.prat.politikk,5,8720,2814
no.slekt,no.prat.seksualitet,5,8720,2814
no.slekt,no.prat.ufo,5,8720,2814
no.slekt,no.pressemeldinger.diskusjon,5,8720,2814
no.slekt,no.spill.rollespill,5,8720,2814
no.slekt,no.spill.sjakk,5,8720,2814
no.slekt,no.sport.fotball,5,8720,2814
no.slekt,no.uninett.fik,5,8720,2814
no.slekt.programmer,no.news.diverse,5,1146,149
no.speider,no.perl,5,4784,1847
no.speider,no.prat.narkotika,5,4784,1847
no.speider,no.prat.politikk,5,4784,1847
no.speider,no.prat.ufo,5,4784,1847
no.speider,no.pressemeldinger.diskusjon,5,4784,1847
no.speider,no.religion,5,4784,1847
no.speider,no.spill.rollespill,5,4784,1847
no.speider,no.spill.sjakk,5,4784,1847
no.speider,no.sport.fotball,5,4784,1847
no.spill,no.perl,5,30675,6456
no.spill,no.prat.narkotika,5,30675,6456
no.spill,no.prat.politikk,5,30675,6456
no.spill,no.prat.seksualitet,5,30675,6456
no.spill,no.prat.ufo,5,30675,6456
no.spill,no.pressemeldinger.diskusjon,5,30675,6456
no.spill,no.spill.rollespill,5,30675,6456
no.spill,no.spill.sjakk,5,30675,6456
no.spill,no.sport.fotball,5,30675,6456
no.spill.rollespill,no.perl,5,2573,166
no.spill.rollespill,no.prat.narkotika,5,2573,166
no.spill.rollespill,no.prat.politikk,5,2573,166
no.spill.rollespill,no.prat.seksualitet,5,2573,166
no.spill.rollespill,no.prat.ufo,5,2573,166
no.spill.rollespill,no.pressemeldinger.diskusjon,5,2573,166
no.spill.rollespill,no.radio-tv,5,2573,166
no.spill.rollespill,no.reiser,5,2573,166
no.spill.rollespill,no.religion,5,2573,166
no.spill.rollespill,no.slekt,5,2573,166
no.spill.rollespill,no.speider,5,2573,166
no.spill.rollespill,no.spill,5,2573,166
no.spill.rollespill,no.spill.sjakk,5,2573,166
no.spill.rollespill,no.sport.diverse,5,2573,166
no.spill.rollespill,no.sport.fotball,5,2573,166
no.spill.sjakk,no.perl,5,2166,425
no.spill.sjakk,no.prat.narkotika,5,2166,425
no.spill.sjakk,no.prat.politikk,5,2166,425
no.spill.sjakk,no.prat.seksualitet,5,2166,425
no.spill.sjakk,no.prat.ufo,5,2166,425
no.spill.sjakk,no.pressemeldinger.diskusjon,5,2166,425
no.spill.sjakk,no.radio-tv,5,2166,425
no.spill.sjakk,no.reiser,5,2166,425
no.spill.sjakk,no.religion,5,2166,425
no.spill.sjakk,no.slekt,5,2166,425
no.spill.sjakk,no.speider,5,2166,425
no.spill.sjakk,no.spill.rollespill,5,2166,425
no.spill.sjakk,no.sport.diverse,5,2166,425
no.spill.sjakk,no.sport.fotball,5,2166,425
no.sport.diverse,no.perl,5,15689,4266
no.sport.diverse,no.prat.narkotika,5,15689,4266
no.sport.diverse,no.prat.politikk,5,15689,4266
no.sport.diverse,no.prat.seksualitet,5,15689,4266
no.sport.diverse,no.prat.ufo,5,15689,4266
no.sport.diverse,no.pressemeldinger.diskusjon,5,15689,4266
no.sport.diverse,no.spill.rollespill,5,15689,4266
no.sport.diverse,no.spill.sjakk,5,15689,4266
no.sport.fotball,no.perl,5,7137,416
no.sport.fotball,no.prat.narkotika,5,7137,416
no.sport.fotball,no.prat.politikk,5,7137,416
no.sport.fotball,no.prat.seksualitet,5,7137,416
no.sport.fotball,no.prat.ufo,5,7137,416
no.sport.fotball,no.pressemeldinger.diskusjon,5,7137,416
no.sport.fotball,no.radio-tv,5,7137,416
no.sport.fotball,no.reiser,5,7137,416
no.sport.fotball,no.religion,5,7137,416
