newsgroup_a,newsgroup_b,users_a,users_b,shared_users,jaccard
no.general,no.vitser,5478,2603,696,0.09424509140148951
no.kjemi,no.medisin,489,928,122,0.09420849420849421
no.embnet,no.standard,63,100,14,0.09395973154362416
no.sources.list,no.uninett.drift,78,85,14,0.09395973154362416
no.ai,no.lisp,214,194,35,0.0938337801608579
no.norsk,no.skole.diverse,1503,538,175,0.09378349410503752
no.ef,no.media,319,709,88,0.09361702127659574
no.ms-windows,no.net,2456,862,284,0.0936058009228741
no.tungregning,no.uninett.diverse,92,177,23,0.09349593495934959
no.alt.config,no.alt.irc-treff,313,237,47,0.09343936381709742
no.elektronikk,no.marked,1920,6278,700,0.09335822886102961
no.ef,no.stortinget,319,501,70,0.09333333333333334
no.lisp,no.x,194,228,36,0.09326424870466321
no.org.nobug.diverse,no.standard,76,100,15,0.09316770186335403
no.org.efn.diskusjon,no.tegnsett,320,150,40,0.09302325581395349
no.tegnsett,no.uninett.drift,150,85,20,0.09302325581395349
no.jus,no.medisin,1414,928,199,0.09286047596826878
no.jus,no.vit.diverse,1414,449,158,0.09266862170087976
no.media,no.net,709,862,133,0.09248956884561892
no.alkohol,no.alt.mat.drikke,880,516,118,0.09233176838810642
no.alt.diskusjoner,no.net,1895,862,233,0.09231378763866878
no.org.efn.diskusjon,no.uninett.diverse,320,177,42,0.09230769230769231
no.news.diverse,no.news.drift,1446,223,141,0.09227748691099476
no.c,no.ef,727,319,88,0.0918580375782881
no.radio-tv,no.tele,1987,1842,322,0.09181636726546906
no.it.emacs,no.perl,247,479,61,0.09172932330827067
no.biz,no.biz.diskusjoner,55,326,32,0.09169054441260745
no.alt.diskusjoner,no.unix,1895,1157,256,0.09155937052932761
no.embnet,no.tungregning,63,92,13,0.09154929577464789
no.media,no.vit.diverse,709,449,97,0.09142318567389256
no.biz.nettilbydere,no.it.diverse,656,574,103,0.09139307897071872
no.folklore.overtro,no.org.efn.diskusjon,122,320,37,0.09135802469135802
no.alkohol,no.jus,880,1414,192,0.09134157944814462
no.nuug,no.student.nett,108,358,39,0.09133489461358314
no.alkohol,no.alt.arkiv,880,160,87,0.0912906610703043
no.mail.diverse,no.perl,657,479,95,0.09125840537944284
no.jus,no.unix,1414,1157,215,0.09125636672325976
no.norsk,no.vit.diverse,1503,449,163,0.09111235326998324
no.embnet,no.havforskning,63,201,22,0.09090909090909091
no.it.emacs,no.unix,247,1157,117,0.09090909090909091
no.spill,no.www,2481,3396,489,0.09075723830734966
no.alt.diskusjoner,no.alt.flame,1895,1736,302,0.0907179333133073
no.hobby.diverse,no.vit.diverse,790,449,103,0.09066901408450705
no.news.drift,no.tegnsett,223,150,31,0.09064327485380116
no.general,no.ms-windows,5478,2456,659,0.09058419243986254
no.jus,no.net,1414,862,189,0.09056061332055582
no.embnet,no.sources.wanted,63,142,17,0.09042553191489362
no.alt.gledesutbrudd,no.musikk,1358,2990,360,0.09027081243731194
no.c,no.x,727,228,79,0.09018264840182648
no.general,no.test,5478,6243,968,0.090021389379708
no.it.diverse,no.ms-windows,574,2456,250,0.08992805755395683
no.alt.mat,no.norsk,983,1503,205,0.08987286277948268
no.sources.list,no.tungregning,78,92,14,0.08974358974358974
no.biz.nettilbydere,no.news.diverse,656,1446,173,0.08968377397615344
no.bil,no.elektronikk,1920,1920,316,0.08967082860385925
no.biz.nettilbydere,no.mail.diverse,656,657,108,0.08962655601659751
no.prat.politikk,no.radio-tv,1118,1987,255,0.08947368421052632
