newsgroup_a,newsgroup_b,users_a,users_b,shared_users,jaccard
no.unix,no.www,1435,3452,464,0.10490617228125707
no.alt.gledesutbrudd,no.film,1753,2587,412,0.10488798370672098
no.ms-windows,no.spill,3235,2992,591,0.10486160397444996
no.alt.config,no.alt.gledesutbrudd,407,1753,205,0.10485933503836317
no.c,no.kjemi,1036,745,169,0.10483870967741936
no.alt.frustrasjoner,no.prat.seksualitet,3039,883,372,0.1047887323943662
no.alt.gledesutbrudd,no.prat.seksualitet,1753,883,250,0.10477787091366303
no.alt.diskusjoner,no.pc,2367,7028,891,0.10477422389463782
no.alt.config,no.alt.mat.drikke,407,659,101,0.10466321243523316
no.alt.tegneserier,no.bibsys,1043,235,121,0.10458081244598098
no.jus,no.religion,1851,1583,325,0.10453522032807977
no.film,no.jus,2587,1851,420,0.10452961672473868
no.it.diverse,no.vit.diverse,605,473,102,0.10450819672131148
no.alt.gledesutbrudd,no.radio-tv,1753,2075,362,0.10444316214656665
no.folklore.edb,no.folklore.overtro,219,130,33,0.10443037974683544
no.alt.frustrasjoner,no.net,3039,1216,402,0.1043342849727485
no.sources.wanted,no.uninett.katalog,218,68,27,0.10424710424710425
no.alt.config,no.mail.drift,407,430,79,0.10422163588390501
no.it.emacs,no.kryptografi,394,359,71,0.10410557184750734
no.mail.drift,no.tegnsett,430,249,64,0.1040650406504065
no.jus,no.radio-tv,1851,2075,370,0.10404949381327334
no.nuug,no.uninett.drift,164,112,26,0.104
no.alt.diskusjoner,no.musikk,2367,3667,568,0.10391511159897548
no.alt.frustrasjoner,no.unix,3039,1435,421,0.10387367382186036
no.uninett.katalog,no.vr,68,166,22,0.10377358490566038
no.general,no.marked.data,7075,7987,1416,0.10376667155210317
no.tegnsett,no.uninett.hjelp,249,124,35,0.10355029585798817
no.alt.gledesutbrudd,no.vitser,1753,3555,497,0.10330492621076699
no.jus,no.media,1851,734,242,0.10328638497652583
no.news.drift,no.uninett.diverse,379,262,60,0.10327022375215146
no.general,no.vitser,7075,3555,995,0.10326933056564608
no.alt.config,no.alt.radio-tv.irma-1000,407,309,67,0.10323574730354391
no.alt.god.jul,no.kjemi,570,745,123,0.10318791946308725
no.nuug,no.org.efn.diskusjon,164,446,57,0.10307414104882459
no.norsk,no.radio-tv,1962,2075,377,0.10300546448087432
no.alkohol,no.jus,1192,1851,284,0.10293584632113084
no.alt.pompel-og-pilt,no.alt.pompelog,329,143,44,0.102803738317757
no.ai,no.alt.pompelog,254,143,37,0.10277777777777777
no.stortinget,no.vit.diverse,665,473,106,0.10271317829457365
no.news.drift,no.telepost,379,417,74,0.10249307479224377
no.eunet.diverse,no.havforskning,141,397,50,0.10245901639344263
no.alt.god.jul,no.mail.diverse,570,993,145,0.10225669957686882
no.tegnsett,no.tungregning,249,118,34,0.1021021021021021
