from_newsgroup,to_newsgroup,number_of_references
no.alt.motorsykler,no.alt.katter,110
no.tele,no.biz.nettilbydere,110
no.biz.annonser,no.biz.nettilbydere,109
no.mail.drift,no.litteratur,109
no.marked,no.net,109
no.kjemi,no.medisin,108
no.litteratur,no.mail.diverse,108
no.litteratur,no.mail.drift,108
no.mail.diverse,no.litteratur,108
no.mail.diverse,no.multimedia,108
no.multimedia,no.mail.diverse,108
no.vitser,no.www,108
no.c,no.general,106
no.general,no.marked.data,106
no.skole.diverse,unknown,106
no.general,no.elektronikk,105
no.jus,no.musikk,105
no.marked.data,no.marked.jobb,105
no.media,no.alt.diskusjoner,105
no.stortinget,no.media,105
no.biz.nettilbydere,no.biz.annonser,104
no.jus,no.linux,104
no.mail.drift,no.multimedia,104
no.general,no.mac,103
no.general,no.radio_tv,103
no.jus,no.mail.diverse,103
no.marked,no.alt.frustrasjoner,103
no.multimedia,no.mail.drift,103
no.pc,no.news.diverse,103
no.slekt.programmer,no.slekt,103
no.www,no.vitser,103
no.alt.tegneserier,no.film,102
no.general,no.alt.mat.drikke,102
no.kjemi,no.multimedia,102
no.multimedia,no.hobby.diverse,102
no.multimedia,no.kjemi,102
no.news.diverse,no.marked,102
no.prat.narkotika,no.stortinget,102
no.unix,no.general,102
no.alt.katter,no.general,101
no.bil,no.marked,101
no.news.diverse,no.norsk,101
no.alt.diskusjoner,no.media,100
no.jus,no.norsk,100
no.marked.data,no.musikk,100
no.media,no.stortinget,100
no.prat.seksualitet,no.general,100
no.spill.sjakk,unknown,100
no.elektronikk,no.marked.data,99
no.irc,no.havforskning,99
no.irc,unknown,99
no.mac,no.general,99
no.marked,no.bil,99
no.multimedia,no.marked.jobb,99
no.musikk,no.mac,99
no.marked.jobb,no.multimedia,98
no.musikk,no.marked.data,98
no.vitser,no.pc,98
no.www,no.alkohol,98
no.alt.diskusjoner,no.norsk,97
no.alt.frustrasjoner,no.elektronikk,97
no.hobby.diverse,no.multimedia,97
no.alt.flame,no.spill,96
no.alt.frustrasjoner,no.alt.mat,96
no.general,no.news.drift,96
no.linux,no.jus,96
no.perl,unknown,96
no.radio_tv,no.general,96
no.alt.diskusjoner,no.multimedia,95
no.amiga,no.marked,95
no.embnet,no.havforskning,95
no.film,no.alt.tegneserier,95
no.havforskning,no.embnet,95
no.net,no.multimedia,95
no.pressemeldinger,no.general,95
no.alt.motorsykler,no.elektronikk,94
no.elektronikk,no.general,94
no.film,no.c,94
no.general,no.bil,94
no.havforskning,no.c,94
no.havforskning,no.irc,94
no.hobby.diverse,no.alt.diskusjoner,94
no.marked,no.hobby.diverse,94
no.marked.data,no.elektronikk,94
no.marked.jobb,no.general,94
no.news.diverse,no.news.drift,94
no.pc,no.tele,94
no.pc,no.unix,94
no.prat.politikk,no.alkohol,94
no.prat.seksualitet,no.alt.frustrasjoner,94
no.biz.annonser,no.pc,93
no.biz.nettilbydere,no.marked,93
no.c,no.havforskning,93
no.ef,no.havforskning,93
no.multimedia,no.net,93
no.news.diverse,no.musikk,93
no.norsk,no.www,93
no.prat.ufo,unknown,93
no.sykkel,no.alt.diskusjoner,93
no.vit.diverse,no.kjemi,93
no.alt.diskusjoner,no.alt.gledesutbrudd,92
no.alt.diskusjoner,no.net,92
no.alt.diskusjoner,no.vitser,92
no.alt.flame,no.musikk,92
no.biz.annonser,no.general,92
no.c,no.film,92
no.embnet,no.film,92
no.havforskning,no.ef,92
no.irc,no.c,92
no.jus,no.kjemi,92
no.kjemi,no.alt.diskusjoner,92
no.lisp,no.general,92
no.ms-windows,no.mswindow,92
no.norsk,no.litteratur,92
no.pc,no.biz.annonser,92
no.film,no.embnet,91
no.film,no.marked,91
no.general,no.pressemeldinger,91
no.irc,no.film,91
no.mac,no.marked.jobb,91
no.mail.diverse,no.jus,91
no.marked,no.film,91
no.marked.jobb,no.marked.data,91
no.vitser,no.alt.diskusjoner,91
no.ef,no.film,90
no.irc,no.embnet,90
no.mac,no.musikk,90
no.news.diverse,no.sport.diverse,90
no.alt.diskusjoner,no.hobby.diverse,89
no.alt.mat,no.alt.frustrasjoner,89
no.film,no.irc,89
no.general,no.reiser,89
no.general,no.vitser,89
no.it.diverse,no.general,89
no.marked.jobb,no.mac,89
no.alt.diskusjoner,no.elektronikk,88
no.film,no.ef,88
no.film,no.musikk,88
no.kjemi,no.jus,88
no.uninett.skole,no.general,88
no.alkohol,no.stortinget,87
no.elektronikk,no.www,87
no.irc,no.ef,87
no.jus,no.pc,87
no.musikk,no.jus,87
no.c,no.irc,86
no.embnet,no.irc,86
no.film,no.havforskning,86
no.general,no.uninett.skole,86
no.havforskning,no.film,86
no.hobby.diverse,unknown,86
no.marked.data,no.spill,86
no.news.diverse,no.prat.politikk,86
no.stortinget,no.alkohol,86
no.vit.diverse,no.medisin,86
no.alt.config,no.news.diverse,85
no.audio,no.marked.data,85
no.film,no.bil,85
no.it.emacs,no.general,85
no.linux,no.irc,85
no.marked.data,no.audio,85
no.marked.data,no.general,85
no.musikk.klassisk,no.musikk,85
no.news.drift,no.general,85
no.sykkel,no.general,85
no.www,no.elektronikk,85
no.alt.motorsykler,no.alt.diskusjoner,84
no.ef,no.irc,84
no.marked.jobb,no.mail.diverse,84
no.musikk,no.film,84
no.reiser,no.general,84
no.tele,no.marked,84
no.alt.mat,no.alt.diskusjoner,83
no.bil,no.c,83
no.biz.nettilbydere,no.biz.annonser.data,83
no.c,no.audio,83
no.c,no.bil,83
no.general,no.alt.katter,83
no.general,no.it.diverse,83
no.jus,no.net,83
no.mac,no.net,83
no.marked,no.biz.nettilbydere,83
no.ms-windows,no.spill,83
no.musikk,no.linux,83
no.norsk,no.pc,83
no.radio-tv,no.elektronikk,83
no.spill,no.ms-windows,83
no.alt.frustrasjoner,no.net,82
no.bil,no.bibsys,82
no.bil,no.film,82
no.biz.annonser.data,no.biz.nettilbydere,82
no.havforskning,no.general,82
no.kjemi,no.havforskning,82
no.litteratur,no.norsk,82
no.multimedia,no.alt.diskusjoner,82
no.net,no.mac,82
no.norsk,no.marked,82
no.alt.tegneserier,no.audio,81
no.audio,no.alt.tegneserier,81
no.bil,no.general,81
no.jus,no.litteratur,81
no.litteratur,no.film,81
no.mail.diverse,no.marked.jobb,81
no.marked.jobb,no.linux,81
no.marked.jobb,no.litteratur,81
no.net,no.alt.diskusjoner,81
no.net,no.jus,81
no.news.diverse,no.alt.config,81
no.prat.politikk,no.news.diverse,81
no.religion,no.news.diverse,81
no.spill,no.marked.data,81
no.tele,no.alt.diskusjoner,81
no.alt.diskusjoner,no.alt.config,80
no.alt.gledesutbrudd,no.alt.mat,80
no.audio,no.c,80
no.ef,no.audio,80
no.elektronikk,no.alt.diskusjoner,80
no.elektronikk,no.alt.motorsykler,80
no.general,no.alt.sjokolade,80
no.havforskning,no.kjemi,80
no.linux,no.marked.jobb,80
no.litteratur,no.marked.jobb,80
no.mail.drift,no.marked.jobb,80
no.marked.data,no.amiga,80
no.marked.jobb,no.mail.drift,80
no.net,no.mail.drift,80
no.radio-tv,no.media,80
no.spill,no.multimedia,80
no.alkohol,no.www,79
no.alkohol,unknown,79
no.alt.config,no.general,79
no.elektronikk,no.alt.frustrasjoner,79
no.irc,no.linux,79
no.jus,no.religion,79
no.litteratur,no.jus,79
no.mail.drift,no.net,79
no.media,no.marked,79
no.audio,no.ef,78
no.bil,no.mac,78
no.ef,no.bil,78
no.kjemi,no.marked.jobb,78
no.norsk.fagord,unknown,78
no.vit.diverse,no.alt.diskusjoner,78
no.www,no.pressemeldinger,78
no.alt.diskusjoner,no.kjemi,77
no.alt.frustrasjoner,no.alt.config,77
no.alt.gledesutbrudd,no.religion,77
no.bibsys,no.bil,77
no.biz.nettilbydere,no.marked.data,77
no.c,no.alt.tegneserier,77
no.irc,no.marked,77
no.mac,no.bil,77
no.marked.jobb,no.kjemi,77
no.multimedia,no.spill,77
no.news.diverse,no.jus,77
no.news.diverse,no.net,77
no.religion,no.alt.gledesutbrudd,77
no.vitser,no.prat.seksualitet,77
no.alt.mat,no.alt.gledesutbrudd,76
no.alt.tegneserier,no.c,76
no.c,no.bibsys,76
no.elektronikk,no.biz.annonser,76
no.embnet,no.bil,76
no.folklore.edb,no.general,76
no.jus,no.mail.drift,76
no.linux,no.musikk,76
no.marked,no.vitser,76
no.musikk,no.news.diverse,76
no.tele,no.net,76
no.alt.config,no.alt.frustrasjoner,75
no.audio,no.hobby.diverse,75
no.bil,no.ef,75
no.ef,no.alt.tegneserier,75
no.hobby.diverse,no.audio,75
no.jus,no.mac,75
no.mac,no.jus,75
no.norsk,no.stortinget,75
no.alt.frustrasjoner,no.alkohol,74
no.alt.tegneserier,no.ef,74
no.alt.tegneserier,no.embnet,74
no.bil,no.embnet,74
no.ef,no.bibsys,74
no.elektronikk,no.multimedia,74
no.embnet,no.alt.tegneserier,74
no.marked.data,no.linux,74
no.news.diverse,no.kjemi,74
no.news.diverse,no.telepost,74
no.pc,no.mail.diverse,74
no.alt.sjokolade,unknown,73
no.embnet,no.audio,73
no.film,no.bibsys,73
no.general,no.folklore.overtro,73
no.irc,no.bil,73
no.jus,no.havforskning,73
no.kjemi,no.vit.diverse,73
no.lisp,no.linux,73
no.marked,no.irc,73
no.marked.data,no.www,73
no.media,no.radio-tv,73
no.net,no.kjemi,73
no.news.diverse,no.linux,73
no.news.drift,no.net,73
no.norsk,no.media,73
no.tegnsett,no.general,73
no.alkohol,no.alt.config,72
no.audio,no.embnet,72
no.embnet,no.bibsys,72
no.general,no.sykkel,72
no.lisp,no.mac,72
no.marked.data,no.biz.nettilbydere,72
no.medisin,no.alt.diskusjoner,72
no.medisin,no.marked,72
no.musikk,no.musikk.klassisk,72
no.net,no.news.drift,72
no.net,no.tele,72
no.prat.seksualitet,no.vitser,72
no.religion,no.skole.diverse,72
no.tele,no.www,72
no.vitser,no.marked,72
no.alt.frustrasjoner,no.alt.motorsykler,71
no.alt.mat.drikke,no.hobby.diverse,71
no.bibsys,no.c,71
no.bil,no.irc,71
no.kjemi,no.net,71
no.mail.drift,no.jus,71
no.ms-windows,no.it.diverse,71
no.multimedia,no.elektronikk,71
no.net,no.unix,71
no.news.drift,no.news.diverse,71
no.pc,no.jus,71
no.prat.seksualitet,no.alt.diskusjoner,71
no.skole.diverse,no.religion,71
no.slekt,no.slekt.etterlysning,71
no.slekt,no.slekt.programmer,71
no.telepost,no.news.diverse,71
no.embnet,no.general,70
no.general,no.lisp,70
no.irc,no.bibsys,70
no.jus,no.bil,70
no.marked,no.norsk,70
no.media,no.audio,70
no.pc,no.norsk,70
no.tele,no.elektronikk,70
no.www,no.marked.data,70
no.alkohol,no.prat.politikk,69
no.alt.config,no.alkohol,69
no.amiga,no.alt.diskusjoner,69
no.audio,no.alt.diskusjoner,69
no.bil,no.marked.bil,69
no.general,no.biz.annonser.data,69
no.havforskning,no.bibsys,69
no.lisp,no.litteratur,69
no.lisp,no.marked,69
no.marked,no.medisin,69
no.musikk,no.litteratur,69
no.net,no.news.diverse,69
no.news.diverse,no.slekt,69
no.unix,no.net,69
no.www,no.norsk,69
no.alt.diskusjoner,no.alt.motorsykler,68
no.alt.flame,no.pc,68
no.biz.annonser.data,unknown,68
no.biz.diskusjoner,no.biz.annonser.data,68
no.biz.nettilbydere,no.www,68
no.film,no.litteratur,68
no.general,no.mail.drift,68
no.havforskning,no.bil,68
no.havforskning,no.jus,68
no.pressemeldinger,no.www,68
no.alt.diskusjoner,no.audio,67
no.alt.diskusjoner,no.sykkel,67
no.alt.mat,no.alt.mat.drikke,67
no.bibsys,no.ef,67
no.bil,no.havforskning,67
no.elektronikk,no.radio-tv,67
no.elektronikk,no.vitser,67
no.general,no.biz.diskusjoner,67
no.hobby.diverse,no.marked.data,67
no.it.diverse,no.ms-windows,67
no.linux,no.marked.data,67
no.litteratur,no.musikk,67
no.mac,no.irc,67
no.marked.data,no.hobby.diverse,67
no.marked.diskusjon,no.marked,67
no.medisin,no.multimedia,67
no.news.diverse,no.mail.drift,67
no.news.diverse,no.multimedia,67
no.slekt.etterlysning,no.slekt,67
no.sport.diverse,no.news.diverse,67
no.vitser,no.elektronikk,67
no.alt.config,no.alt.diskusjoner,66
no.alt.config,no.alt.motorsykler,66
no.alt.diskusjoner,no.vit.diverse,66
no.alt.frustrasjoner,no.alt.sjokolade,66
no.alt.frustrasjoner,no.linux,66
no.alt.motorsykler,no.marked,66
