from_newsgroup,to_newsgroup,number_of_references
no.mail.drift,no.musikk,53
no.marked,no.alt.motorsykler,53
no.marked.data,no.jus,53
no.marked.data,no.linux,53
no.multimedia,unknown,53
no.musikk.gitar,no.jus,53
no.musikk.gitar,no.kjemi,53
no.musikk.gitar,no.linux,53
no.musikk.gitar,no.litteratur,53
no.musikk.gitar,no.mac,53
no.musikk.gitar,no.mail.diverse,53
no.musikk.gitar,no.mail.drift,53
no.psykologi,no.ai,53
no.radio_tv,no.multimedia,53
no.alt.flame,no.net,52
no.alt.frustrasjoner,no.irc,52
no.alt.frustrasjoner,no.radio_tv,52
no.alt.katter,no.alt.motorsykler,52
no.alt.mat.drikke,no.alt.mat,52
no.alt.tegneserier,no.marked,52
no.audio,no.irc,52
no.audio,no.video,52
no.jus,no.audio,52
no.jus,no.bil,52
no.linux,no.havforskning,52
no.mac,no.audio,52
no.mac,no.havforskning,52
no.pc,no.mswindow,52
no.www,no.pc,52
no.alt.flame,no.alt.gledesutbrudd,51
no.alt.irc-treff,no.alt.irctreff,51
no.alt.mat,no.alt.mat.drikke,51
no.audio,no.jus,51
no.film,no.marked.data,51
no.havforskning,no.audio,51
no.havforskning,no.litteratur,51
no.havforskning,no.mac,51
no.irc,no.mail.drift,51
no.irc,no.net,51
no.marked.jobb,no.medisin,51
no.multimedia,no.radio_tv,51
no.radio-tv,no.elektronikk,51
no.www,no.general,51
no.alt.diskusjoner,no.mail.diverse,50
no.alt.tegneserier,no.norsk,50
no.bil,no.jus,50
no.havforskning,no.marked,50
no.irc,no.alt.tegneserier,50
no.jus,no.alt.tegneserier,50
no.linux,no.alt.frustrasjoner,50
no.linux,no.ef,50
no.litteratur,no.havforskning,50
no.marked,no.alt.tegneserier,50
no.multimedia,no.norsk,50
no.net,no.irc,50
no.news.diverse,no.litteratur,50
no.norsk,no.irc,50
no.pc,no.biz.annonser.data,50
no.ai,no.general,49
no.alt.diskusjoner,no.alt.arkiv,49
no.alt.flame,no.vitser,49
no.alt.gledesutbrudd,no.musikk,49
no.alt.tegneserier,no.jus,49
no.elektronikk,no.mac,49
no.film,no.alt.gledesutbrudd,49
no.havforskning,no.mail.diverse,49
no.havforskning,no.mail.drift,49
no.jus,no.elektronikk,49
no.jus,no.news.drift,49
no.marked,no.havforskning,49
no.news.drift,no.mail.diverse,49
no.norsk,no.multimedia,49
no.pc,no.norsk,49
no.tele,no.telepost,49
no.alkohol,no.marked,48
no.alt.config,no.alt.gledesutbrudd,48
no.audio,no.mail.diverse,48
no.biz.annonser.data,no.pc,48
no.biz.nettilbydere,no.general,48
no.elektronikk,no.jus,48
no.general,no.mail.drift,48
no.general,no.unix,48
no.jus,no.film,48
no.jus,no.marked.jobb,48
no.litteratur,no.irc,48
no.mac,no.elektronikk,48
no.mail.diverse,no.havforskning,48
no.mail.diverse,no.news.drift,48
no.mail.drift,no.havforskning,48
no.medisin,no.mail.diverse,48
no.ms-windows,no.www,48
no.news.diverse,no.alt.flame,48
no.news.diverse,no.marked.jobb,48
no.news.diverse,no.musikk.gitar,48
no.news.drift,no.jus,48
no.pc,no.musikk,48
no.alt.diskusjoner,no.alt.pompelog,47
no.alt.pompel-og-pilt,no.alt.radio-tv.irma-1000,47
no.alt.pompelog,no.alt.diskusjoner,47
no.alt.tegneserier,no.irc,47
no.alt.tegneserier,no.litteratur,47
no.audio,no.kjemi,47
no.bil,no.general,47
no.c,no.marked,47
no.jus,no.tele,47
no.mail.diverse,no.c,47
no.mail.diverse,no.irc,47
no.marked.data,no.film,47
no.medisin,no.marked.jobb,47
no.musikk,no.alt.gledesutbrudd,47
no.net,no.havforskning,47
no.pc,no.www,47
no.stortinget,unknown,47
no.alt.arkiv,no.alt.diskusjoner,46
no.alt.god.jul,no.general,46
no.alt.radio-tv.irma-1000,no.mail.diverse,46
no.audio,no.linux,46
no.audio,no.litteratur,46
no.audio,no.marked.jobb,46
no.c,no.kjemi,46
no.c,no.litteratur,46
no.c,no.mac,46
no.irc,no.multimedia,46
no.kjemi,no.c,46
no.mac,no.c,46
no.mac,no.medisin,46
no.marked.data,no.spill,46
no.musikk,no.pc,46
no.musikk.gitar,no.marked.jobb,46
no.norsk,no.org.efn.diskusjon,46
no.telepost,no.tele,46
no.alkohol,no.alt.mat,45
no.alt.flame,no.alt.config,45
no.alt.frustrasjoner,no.alt.god.jul,45
no.alt.radio-tv.irma-1000,no.kjemi,45
no.alt.radio-tv.irma-1000,no.mail.drift,45
no.alt.radio-tv.irma-1000,no.marked,45
no.ef,no.linux,45
no.ef,no.litteratur,45
no.embnet,no.linux,45
no.embnet,no.litteratur,45
no.film,no.video,45
no.general,no.musikk.gitar,45
no.general,no.vit.diverse,45
no.havforskning,no.multimedia,45
no.kjemi,no.audio,45
no.kryptografi,no.general,45
no.litteratur,no.c,45
no.mail.drift,no.irc,45
no.mail.drift,no.medisin,45
no.marked,no.c,45
no.marked.jobb,no.musikk.gitar,45
no.medisin,no.mac,45
no.musikk.klassisk,no.musikk,45
no.net,no.telepost,45
no.psykologi,no.litteratur,45
no.spill.sjakk,unknown,45
no.telepost,no.net,45
no.alt.diskusjoner,no.news.drift,44
no.alt.god.jul,no.alt.flame,44
no.alt.god.jul,no.alt.tegneserier,44
no.alt.god.jul,no.audio,44
no.alt.motorsykler,no.alt.config,44
no.alt.motorsykler,no.alt.mat,44
no.audio,no.bil,44
no.audio,no.mail.drift,44
no.c,no.elektronikk,44
no.c,no.mail.diverse,44
no.c,no.mail.drift,44
no.ef,no.kjemi,44
no.elektronikk,no.marked.data,44
no.embnet,no.kjemi,44
no.embnet,no.mac,44
no.film,no.jus,44
no.general,no.alt.god.jul,44
no.general,no.biz.nettilbydere,44
no.havforskning,no.net,44
no.kjemi,no.alt.radio-tv.irma-1000,44
no.kjemi,no.ef,44
no.kjemi,no.embnet,44
no.mac,no.embnet,44
no.mac,no.lisp,44
no.mail.diverse,no.audio,44
no.mail.diverse,no.medisin,44
no.medisin,no.mail.drift,44
no.musikk.gitar,no.news.diverse,44
no.news.diverse,no.vitser,44
no.radio-tv,no.alt.tegneserier,44
no.spill,no.marked.data,44
no.alkohol,no.alt.gledesutbrudd,43
no.alkohol,no.ef,43
no.alt.arkiv,no.alt.config,43
no.alt.diskusjoner,no.radio_tv,43
no.alt.frustrasjoner,no.film,43
no.alt.god.jul,no.radio-tv,43
no.alt.mat,no.alt.motorsykler,43
no.alt.radio-tv.irma-1000,no.alt.pompel-og-pilt,43
no.alt.tegneserier,no.alt.god.jul,43
no.alt.tegneserier,no.mail.diverse,43
no.audio,no.alt.god.jul,43
no.bil,no.audio,43
no.bil,no.film,43
no.ef,no.mail.diverse,43
no.ef,no.mail.drift,43
no.ef,no.marked,43
no.elektronikk,no.c,43
