from_newsgroup,to_newsgroup,number_of_references
no.prat.aksjer,unknown,459
no.student.samfund,no.general,457
no.vitser,no.alt.diskusjoner,457
no.media,no.audio,456
no.pc,no.net,456
no.bil,no.biz.annonser,452
no.norsk,no.www,452
no.audio,no.amiga,450
no.audio,no.film,449
no.www,no.radio-tv,447
no.net,no.pc,446
no.media,no.norsk,444
no.pressemeldinger,no.general,444
no.student.samfund,no.jus,443
no.biz.annonser,no.bolig,442
no.uninett.skole,no.general,442
no.vit.diverse,no.prat.ufo,440
no.alt.sjokolade,no.alt.tegneserier,439
no.general,no.vr,439
no.it.diverse,no.pc,439
no.jus,no.student.samfund,439
no.alt.tegneserier,no.alt.sjokolade,438
no.amiga,no.audio,438
no.alt.tegneserier,unknown,437
no.jus,no.tele,437
no.alt.pompel-og-pilt,no.alt.god.jul,436
no.alt.pompel-og-pilt,no.bibsys,435
no.alt.sjokolade,unknown,435
no.biz.diskusjoner,no.bil,435
no.prat.ufo,unknown,435
no.c,unknown,434
no.elektronikk,no.alt.diskusjoner,434
no.general,no.mail.diverse,434
no.alt.diskusjoner,no.alt.flame,432
no.multimedia,no.amiga,432
no.alt.pompel-og-pilt,no.bil,431
no.marked,no.hobby.diverse,431
no.bil,no.bolig,430
no.amiga,no.alt.diskusjoner,429
no.bolig,no.bil,429
no.it.diverse,no.general,429
no.bolig,no.biz.annonser,428
no.pc,no.prat.seksualitet,428
no.alt.radio-tv.irma-1000,no.alt.pompel-og-pilt,427
no.alt.radio-tv.irma-1000,no.alt.sjokolade,427
no.alt.radio-tv.irma-1000,no.alt.tegneserier,427
no.hobby.diverse,no.marked.data,427
no.musikk,no.multimedia,426
no.alt.radio-tv.irma-1000,no.audio,424
no.amiga,no.multimedia,424
no.alt.diskusjoner,no.multimedia,423
no.alt.tegneserier,no.alt.pompel-og-pilt,423
no.alt.tegneserier,no.alt.radio-tv.irma-1000,423
no.audio,no.alt.diskusjoner,423
no.alt.sjokolade,no.alt.pompel-og-pilt,422
no.alt.sjokolade,no.alt.radio-tv.irma-1000,422
no.audio,no.media,422
no.biz.diskusjoner,no.bolig,422
no.marked,no.biz.nettilbydere,421
no.alt.tegneserier,no.audio,420
no.biz.nettilbydere,no.bil,420
no.media,no.hobby.diverse,420
no.pressemeldinger,no.www,420
no.alt.sjokolade,no.audio,419
no.biz.diskusjoner,no.bibsys,419
no.multimedia,no.alt.diskusjoner,419
no.alt.tegneserier,no.film,418
no.biz.nettilbydere,no.bolig,418
no.alt.diskusjoner,no.amiga,417
no.multimedia,no.musikk,417
no.video,unknown,417
no.audio,no.alt.pompel-og-pilt,416
no.audio,no.alt.radio-tv.irma-1000,416
no.audio,no.alt.sjokolade,416
no.audio,no.alt.tegneserier,416
no.biz.annonser.data,no.bil,416
no.biz.diskusjoner,no.biz,416
no.bil,no.biz.nettilbydere,415
